Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
254,Rider,33,13,20,0.394,-4.6,-3.2,8,12,7,6,4,12,2177,2223,,1340,767,1862,0.412,245,721,0.34,444,603,0.736,350,1173,418,223,90,400,610
255,Robert Morris,32,10,22,0.313,-13.28,-7.5,8,10,4,8,5,14,2082,2267,,1285,800,1843,0.434,222,662,0.335,445,607,0.733,392,1253,500,200,117,489,553
256,Rutgers,32,7,25,0.219,-6.7,6.78,1,17,7,11,0,11,2166,2571,,1295,940,2074,0.453,265,711,0.373,426,625,0.682,441,1334,512,230,131,374,573
257,Sacramento State,31,14,17,0.452,-8.45,-5.14,6,12,10,5,3,11,2210,2237,,1245,789,1839,0.429,216,684,0.316,443,663,0.668,366,1182,443,195,99,375,577
258,Sacred Heart,30,12,18,0.4,-12.67,-8.7,11,7,6,5,5,13,2217,2336,,1210,811,1805,0.449,222,618,0.359,492,711,0.692,359,1114,436,195,121,394,616
259,Saint Francis (PA),30,13,17,0.433,-12.25,-8.73,9,9,8,6,5,11,2110,2181,,1210,796,1776,0.448,204,642,0.318,385,534,0.721,329,1062,406,173,119,345,602
260,Saint Joseph's,34,27,7,0.794,11.93,4.25,13,5,12,4,10,2,2638,2377,,1365,875,2110,0.415,270,872,0.31,357,517,0.691,337,1212,435,156,90,390,672
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
261,Saint Louis,32,11,21,0.344,-2.64,3.58,5,13,7,11,3,8,2106,2305,,1290,780,1800,0.433,240,731,0.328,505,708,0.713,316,1196,447,191,138,414,641
262,Saint Mary's (CA),32,27,5,0.844,14.36,0.74,15,3,18,1,7,3,2397,1951,,1280,733,1784,0.411,189,568,0.333,296,444,0.667,296,936,345,140,75,311,560
263,Saint Peter's,30,14,16,0.467,-4.62,-3.92,12,8,9,5,5,10,1966,1987,,1210,693,1682,0.412,221,649,0.341,380,533,0.713,278,1012,347,192,107,356,584
264,Sam Houston State,34,18,16,0.529,-5.84,-6.27,12,6,10,4,6,9,2551,2427,,1370,796,1806,0.441,255,716,0.356,580,810,0.716,259,1154,511,184,104,455,719
265,Samford,33,14,19,0.424,-5.55,-4.1,4,14,6,7,5,11,2440,2442,,1345,820,1848,0.444,247,682,0.362,555,795,0.698,369,1157,458,225,149,483,680
266,San Diego State,34,25,9,0.735,11.23,3.85,16,2,13,4,9,2,2315,2049,,1370,706,1902,0.371,208,691,0.301,429,592,0.725,344,1125,346,205,116,418,684
267,San Diego,30,9,21,0.3,-7.67,1.54,4,14,6,7,1,11,1822,2074,,1200,714,1605,0.445,177,490,0.361,469,664,0.706,281,1081,377,179,102,355,570
268,San Francisco,30,15,15,0.5,-2.75,-0.51,8,10,10,7,5,7,2329,2362,,1220,811,1843,0.44,280,725,0.386,460,644,0.714,336,1096,426,151,139,343,631
269,San Jose State,31,9,22,0.29,-5.84,1.3,4,14,7,7,1,13,2186,2290,,1245,761,1767,0.431,211,600,0.352,557,811,0.687,317,1133,402,194,88,387,642
270,Santa Clara,31,11,20,0.355,-4.57,1.97,7,11,7,8,3,9,2083,2272,,1265,781,1774,0.44,243,703,0.346,467,645,0.724,324,1144,441,152,100,350,582
271,Savannah State,31,16,15,0.516,-15.14,-8.66,9,7,12,2,2,12,1933,2092,,1245,708,1636,0.433,196,565,0.347,480,662,0.725,304,1113,357,213,115,479,630
272,Seattle,30,14,16,0.467,-9.32,-4.89,7,7,9,7,3,8,1952,2004,,1205,693,1698,0.408,247,732,0.337,371,559,0.664,334,1024,421,251,115,391,565
273,Seton Hall,33,25,8,0.758,14.77,7.71,12,6,13,3,7,4,2470,2237,,1325,790,1971,0.401,206,652,0.316,451,664,0.679,397,1183,402,238,135,449,700
274,Siena,33,21,12,0.636,2.28,-2.9,13,7,12,2,7,9,2579,2408,,1345,821,1981,0.414,223,695,0.321,543,760,0.714,376,1062,380,238,122,407,680
275,South Alabama,33,14,19,0.424,-8.05,-1.89,8,12,8,6,4,11,2284,2426,,1345,834,1975,0.422,231,724,0.319,527,747,0.705,401,1262,454,191,112,432,651
276,South Carolina State,34,19,15,0.559,-9.61,-7.86,12,4,10,1,6,11,2485,2485,,1360,851,1922,0.443,248,715,0.347,535,742,0.721,362,1190,431,151,95,413,651
277,South Carolina Upstate,32,10,22,0.313,-13.7,-4.31,4,10,7,10,3,12,2315,2495,,1290,889,1935,0.459,270,739,0.365,447,643,0.695,382,1171,528,220,92,369,526
278,South Carolina,32,24,8,0.75,12.64,6.22,11,7,15,2,5,5,2429,2208,,1290,728,1845,0.395,264,755,0.35,488,718,0.68,358,1102,403,207,153,483,733
279,South Dakota State,33,26,7,0.788,5.47,-1.56,12,4,13,0,8,7,2517,2237,,1320,766,1843,0.416,198,599,0.331,507,709,0.715,307,1073,366,187,118,398,691
280,South Dakota,32,14,18,0.438,-5.36,-0.66,5,11,6,6,5,10,2443,2537,,1305,852,1875,0.454,279,718,0.389,554,752,0.737,334,1179,477,167,140,447,587
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
281,South Florida,33,8,25,0.242,-2.67,5.42,4,14,4,14,3,9,2085,2352,,1320,817,1978,0.413,235,736,0.319,483,704,0.686,413,1192,495,255,106,314,560
282,Southeast Missouri State,29,5,24,0.172,-15.92,-3.29,2,14,3,10,2,14,1944,2252,,1165,824,1734,0.475,233,665,0.35,371,528,0.703,294,1105,516,190,113,395,528
283,Southeastern Louisiana,33,12,21,0.364,-13.38,-7.32,9,9,9,3,2,15,2344,2489,,1325,847,1893,0.447,268,717,0.374,527,805,0.655,389,1192,504,214,124,457,648
284,Southern California,33,21,12,0.636,14.02,7.93,9,9,16,2,3,7,2668,2467,,1340,899,2152,0.418,239,740,0.323,430,613,0.701,423,1248,452,191,132,408,646
