Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
121,Houston,31,22,9,0.71,11.07,2.07,12,6,15,3,6,4,2414,2135,,66.4,101.7,0.367,0.351,0.51,48.1,48.5,7.6,8.6,0.469,15.7,34.3,0.258
122,Howard,32,12,20,0.375,-14.12,-8.02,6,10,8,7,2,12,2311,2433,,72.2,103.7,0.373,0.365,0.521,50.6,49.9,7.7,8.2,0.487,16.2,36,0.254
123,Idaho State,31,16,15,0.516,-9.65,-6.52,11,7,10,3,5,10,2297,2357,,71.8,105.8,0.349,0.397,0.544,51.9,53,8.4,10.2,0.514,15.7,30,0.24
124,Idaho,33,21,12,0.636,-4.74,-5.62,12,6,11,4,8,6,2309,2183,,67.3,98,0.399,0.448,0.523,44.2,55.4,10.9,8.4,0.488,17,26.3,0.269
125,Illinois-Chicago,30,5,25,0.167,-14.53,-0.81,3,15,5,10,0,13,2019,2348,,72.7,106,0.387,0.337,0.528,49.5,60.9,9.8,11.4,0.487,13.8,29,0.274
126,Illinois State,32,18,14,0.563,3.32,2.51,12,6,13,3,5,8,2149,2114,,67.7,97.2,0.372,0.369,0.515,49.7,53.3,8.8,8.2,0.48,17.7,26.9,0.252
127,Illinois,34,15,19,0.441,4.8,7.45,5,13,7,8,2,8,2452,2542,,68.6,106.3,0.265,0.384,0.561,54,54.1,7.1,10.1,0.536,16.9,26.7,0.191
128,Incarnate Word,29,17,12,0.586,-8.97,-5.97,12,6,10,3,7,9,2145,2140,,71.2,103.1,0.359,0.342,0.544,52.3,54.5,8.9,11.2,0.52,16.7,28.7,0.235
129,Indiana State,32,15,17,0.469,-0.04,2.12,8,10,10,4,2,11,2170,2222,,70,98,0.435,0.331,0.514,49.6,47.1,8.6,9.4,0.469,15.8,23.9,0.301
130,Indiana,32,25,7,0.781,19.81,6.44,15,3,17,0,6,4,2633,2205,,68.7,99.9,0.293,0.314,0.521,44.7,47,8.8,8.8,0.495,16.6,32,0.195
131,Iona,32,22,10,0.688,3.99,-1.95,16,4,11,2,8,6,2547,2357,,72.3,101.5,0.362,0.361,0.521,50.4,53.4,7.9,8.5,0.485,16.8,33.2,0.252
132,Iowa State,32,21,11,0.656,17.6,10.73,10,8,14,2,4,7,2619,2399,,71.6,103.4,0.242,0.357,0.518,50.1,50.1,7.7,7,0.495,14.7,35.8,0.166
133,Iowa,31,21,10,0.677,18.05,8.66,12,6,13,2,6,5,2421,2130,,69.3,98.8,0.252,0.387,0.5,49.1,53.2,7.7,7.5,0.474,16.1,32.8,0.171
134,IPFW,33,24,9,0.727,0.61,-1.87,12,4,12,1,10,6,2646,2506,,70.4,107.1,0.305,0.354,0.551,48.5,46.6,8.2,8.6,0.526,14.2,26.4,0.21
135,IUPUI,32,13,19,0.406,-5.66,0.31,9,7,9,2,4,15,2181,2362,,70,104.7,0.38,0.301,0.545,50.9,45.4,10.6,10.8,0.51,15.9,26.7,0.267
136,Jackson State,35,20,15,0.571,-8.37,-9.59,12,6,11,2,6,12,2401,2288,,68.5,93.7,0.475,0.356,0.499,48.4,51.4,8.6,9.4,0.445,18.3,24.7,0.332
137,Jacksonville State,31,8,23,0.258,-10.06,-3.75,4,12,5,10,2,12,2100,2234,,66.6,107.8,0.419,0.322,0.553,53.9,48.7,6.7,7.9,0.518,16.2,29.5,0.29
138,Jacksonville,32,16,16,0.5,-9.26,-6.01,8,6,12,3,4,11,2444,2431,,72.3,104.2,0.328,0.421,0.545,49.6,52.9,6.7,8,0.521,15.7,24.7,0.217
139,James Madison,32,21,11,0.656,6.45,0.77,11,7,12,6,9,3,2405,2197,,67.9,99.2,0.365,0.424,0.5,47.6,52,8.2,7,0.458,13.7,29.2,0.257
140,Kansas State,33,17,16,0.515,12.85,10.34,5,13,12,5,2,9,2334,2251,,67.5,99.2,0.404,0.363,0.528,47.5,57.7,10,10.4,0.49,18.3,29.1,0.278
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
141,Kansas,34,30,4,0.882,24.41,11.72,15,3,16,0,7,3,2773,2303,,69.6,95.9,0.37,0.328,0.497,46.5,48.5,9,8.5,0.451,16.5,33.2,0.266
142,Kennesaw State,31,11,20,0.355,-8.47,-1.51,7,7,8,6,3,14,2239,2399,,70.5,109.4,0.373,0.351,0.556,52.9,48.4,9.5,7.7,0.526,15.7,34,0.256
143,Kent State,32,19,13,0.594,-1.33,-1.26,10,8,13,3,6,8,2361,2317,,68.1,105.5,0.346,0.351,0.545,47.1,53.8,7.8,7,0.507,15.1,26.3,0.256
144,Kentucky,34,26,8,0.765,20.51,9.1,13,5,17,0,4,7,2709,2321,,68,99.4,0.413,0.298,0.497,46.2,39.8,6.2,7.5,0.449,15.1,34.8,0.289
145,La Salle,31,9,22,0.29,-5.99,4.74,4,14,7,9,1,12,1987,2279,,67.2,109.5,0.348,0.358,0.559,55.1,58.1,8.6,12.8,0.525,16.7,32.3,0.252
146,Lafayette,30,6,24,0.2,-14.79,-5.79,3,15,4,9,2,15,2142,2412,,69.7,112.1,0.351,0.364,0.562,55.5,52.8,8.7,10.2,0.529,14.4,32.3,0.254
147,Lamar,30,11,19,0.367,-14.55,-8.63,3,15,7,9,4,10,2263,2310,,73.7,104.4,0.46,0.346,0.546,49,60.5,9.1,8.4,0.504,17.4,28.9,0.323
148,Lehigh,32,17,15,0.531,-4.21,-4.99,13,5,10,5,7,9,2268,2210,,67.2,102.7,0.281,0.386,0.534,49.1,59.7,8.9,9.8,0.505,16.3,30.8,0.201
149,Liberty,32,13,19,0.406,-10.08,-3.39,10,8,8,6,5,9,2070,2188,,64.9,105.3,0.423,0.368,0.556,52.5,53.4,10.5,7.7,0.522,16.7,29,0.293
150,Lipscomb,33,12,21,0.364,-8.78,-3.75,7,7,6,9,5,9,2590,2689,,73.8,108.8,0.357,0.401,0.559,51.4,57.2,9,11.4,0.522,15.6,30.3,0.263
151,Long Beach State,34,20,14,0.588,4.26,4.6,12,4,11,2,6,9,2511,2461,,70.1,102.1,0.381,0.374,0.536,51.6,55.6,7.6,10,0.504,17.4,28.6,0.257
152,Long Island University,31,16,15,0.516,-11.46,-10.68,9,9,8,6,8,9,2362,2386,,73,104.2,0.38,0.316,0.544,49.9,55.1,7.9,8.2,0.509,17.2,29.7,0.267
153,Longwood,33,10,23,0.303,-11.1,-4.84,5,13,5,8,4,12,2397,2503,,69.7,107.9,0.352,0.429,0.56,48.4,57.1,10.3,7.4,0.526,15.6,27.9,0.257
154,Louisiana-Lafayette,31,17,14,0.548,2.11,-1.86,12,8,12,2,4,11,2464,2265,,71.7,101.1,0.369,0.289,0.527,44.3,43.3,7.9,8.9,0.489,15,25,0.26
155,Louisiana-Monroe,33,20,13,0.606,0.2,-1.16,15,5,13,0,6,10,2414,2302,,66.7,102.3,0.321,0.381,0.512,48.6,47.3,7.8,7.4,0.475,14.6,32.7,0.23
156,Louisiana State,33,19,14,0.576,9.23,7.44,11,7,15,3,3,8,2602,2543,,72.9,104.9,0.334,0.371,0.543,50,49.2,8.1,8,0.518,16.3,29.7,0.223
157,Louisiana Tech,32,23,9,0.719,0.23,-4.4,12,6,16,1,7,7,2541,2307,,72.5,97.5,0.334,0.329,0.511,49.8,51.3,7.8,7.9,0.479,17.1,29.6,0.227
158,Louisville,31,23,8,0.742,21.79,7.95,12,6,18,1,4,7,2324,1895,,66.4,92,0.405,0.353,0.492,45.3,51.5,8.2,6.9,0.447,18.8,29.4,0.278
159,Loyola (IL),32,15,17,0.469,-0.82,0.99,7,11,9,7,4,7,2059,2082,,65.5,98.2,0.356,0.339,0.531,53.5,55.5,8.9,10.7,0.492,19.6,30,0.258
160,Loyola Marymount,31,14,17,0.452,-3.46,1.04,6,12,8,6,5,10,2208,2319,,68,107.9,0.425,0.396,0.572,52.5,64.4,7.9,8.8,0.534,17.9,27.4,0.308
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
161,Loyola (MD),30,9,21,0.3,-10.54,-4.88,8,10,5,9,4,12,2090,2260,,67.3,109.1,0.409,0.327,0.554,49.9,53.6,8.7,11.1,0.52,14.9,29.9,0.284
162,Maine,30,8,22,0.267,-17.18,-6.28,4,12,5,8,3,14,2279,2606,,77.7,110.4,0.38,0.315,0.587,53.5,57.3,10.7,11.5,0.555,18.4,28.3,0.276
163,Manhattan,31,13,18,0.419,-7.07,-2.72,9,11,8,6,4,11,2133,2268,,69,104.7,0.468,0.318,0.565,54.9,60.3,9.3,10.4,0.522,19.8,31.4,0.337
164,Marist,30,7,23,0.233,-11.29,-4.13,4,16,4,10,2,12,2145,2360,,69,112.1,0.366,0.351,0.566,54.1,53.8,9.1,8.9,0.536,14.7,31.3,0.257
165,Marquette,33,20,13,0.606,7.54,5.45,8,10,12,7,5,5,2517,2448,,72.3,101,0.28,0.346,0.521,50,60.3,9.5,8.2,0.487,16.5,34.8,0.207
166,Marshall,33,17,16,0.515,0.96,-0.16,12,6,10,4,5,9,2838,2801,,77.6,108.6,0.359,0.298,0.554,52.1,45,8.4,7.1,0.523,14.9,30.9,0.251
167,Maryland-Baltimore County,32,7,25,0.219,-15.17,-6.67,3,13,4,9,3,15,2307,2579,,70.7,113.1,0.388,0.367,0.598,52.9,53.9,9,8.6,0.566,17.1,26.8,0.284
168,Maryland-Eastern Shore,32,10,22,0.313,-13.92,-5.85,7,9,7,4,3,17,2178,2399,,68.4,108.3,0.489,0.386,0.568,48.6,55.2,9.6,9.9,0.529,16.8,28.5,0.342
169,Maryland,33,25,8,0.758,17.4,8.27,12,6,16,1,4,6,2510,2187,,67.2,98.2,0.269,0.355,0.496,47.4,46.9,9.3,8.3,0.465,14.7,35.6,0.188
170,Massachusetts-Lowell,29,11,18,0.379,-13.43,-6.01,7,9,6,6,5,12,2221,2401,,74.3,110.5,0.374,0.352,0.574,53.4,48,11,8.1,0.543,16.8,34,0.265
171,Massachusetts,32,14,18,0.438,0.75,3.06,6,12,9,7,3,9,2353,2427,,71.7,104.1,0.402,0.356,0.528,52.1,57,7.9,9.2,0.483,14.9,30.8,0.294
172,McNeese State,29,9,20,0.31,-15.03,-6.53,7,11,7,6,2,13,2083,2301,,70.5,110.1,0.371,0.309,0.548,52.7,55,8.8,8.3,0.518,13.9,31.7,0.253
173,Memphis,34,19,15,0.559,10.15,3.89,8,10,14,6,2,8,2603,2390,,73.6,94.8,0.384,0.323,0.49,48.6,52.2,9.1,10.9,0.449,16.5,29.5,0.26
174,Mercer,33,19,14,0.576,-2.52,-4.26,8,10,10,3,3,10,2389,2274,,65.6,102.7,0.329,0.445,0.52,43.9,58.4,9.8,10.5,0.483,14.2,28.4,0.236
175,Miami (FL),32,25,7,0.781,19.32,10.51,13,5,15,1,6,5,2420,2138,,66.3,100.5,0.288,0.298,0.511,48.1,46.2,7.7,7.3,0.48,15.2,32.5,0.203
176,Miami (OH),33,13,20,0.394,-5.66,-0.01,6,12,10,8,3,11,2089,2249,,65.5,104,0.381,0.423,0.552,52,56.4,8.1,8.4,0.51,18.5,28.6,0.285
177,Michigan State,34,29,5,0.853,23.81,7.43,13,5,14,2,7,3,2712,2155,,66.9,94.1,0.34,0.325,0.472,41.9,48.7,7.9,8.4,0.426,12.5,28.4,0.244
178,Michigan,34,22,12,0.647,14.36,8.12,10,8,13,4,4,6,2526,2294,,65.9,102,0.266,0.367,0.537,50.7,53.2,6.1,9.3,0.508,16.1,27.1,0.193
179,Middle Tennessee,33,24,9,0.727,2.26,-1.84,13,5,11,3,8,6,2399,2254,,69.3,98.2,0.421,0.345,0.522,48.4,50.2,8.5,7.2,0.486,17.3,25.1,0.282
180,Milwaukee,33,20,13,0.606,2.94,-1.97,10,8,9,4,7,6,2618,2391,,68.5,103.8,0.284,0.319,0.536,48.3,48.6,7.3,9.1,0.509,14,25.5,0.197
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
181,Minnesota,31,8,23,0.258,1.26,7.26,2,16,7,10,0,9,2108,2294,,68.4,106.8,0.342,0.344,0.552,52.3,58.4,8,10.2,0.517,15.7,26.8,0.249
182,Mississippi State,31,14,17,0.452,8.61,6.45,7,11,10,5,2,9,2323,2256,,70.2,103.3,0.363,0.339,0.524,51.1,48.9,9,9.3,0.489,15.8,34.5,0.25
183,Mississippi Valley State,35,8,27,0.229,-19.62,-7.88,6,12,3,6,3,19,2293,2704,,71.3,106.5,0.352,0.383,0.538,54.3,52,9,9.6,0.51,16.5,32.7,0.236
184,Mississippi,32,20,12,0.625,8.3,5.21,10,8,12,2,7,7,2405,2306,,70,102.1,0.406,0.386,0.531,48.7,58.9,9.3,11.6,0.496,17.4,29.6,0.274
185,Missouri-Kansas City,31,12,19,0.387,-6.1,-2.02,4,10,9,4,2,13,2152,2240,,67.7,106.3,0.439,0.381,0.544,49.6,58,8.4,10.1,0.496,15.7,30.5,0.322
186,Missouri State,32,13,19,0.406,-3.58,2.51,8,10,8,7,4,8,2153,2321,,69.1,104.1,0.346,0.356,0.541,50.5,57.3,9.4,6.5,0.51,15.6,26.4,0.242
187,Missouri,31,10,21,0.323,2.95,7.34,3,15,10,7,0,11,2126,2262,,69.3,105.3,0.408,0.392,0.529,51,56.4,8.4,11.4,0.49,14.2,31.3,0.284
188,Monmouth,34,27,7,0.794,5.93,-1.81,17,3,10,1,13,4,2700,2437,,73.8,96.5,0.369,0.418,0.496,50.2,50.2,8,10.4,0.455,17.5,34.1,0.257
189,Montana State,31,14,17,0.452,-6.86,-5.29,9,9,8,3,4,12,2369,2411,,70.1,110.5,0.457,0.363,0.572,48.4,49.4,8.2,10.6,0.54,14.9,24.2,0.312
190,Montana,32,21,11,0.656,-0.54,-4.37,14,4,12,2,7,8,2318,2146,,67.1,99.2,0.43,0.367,0.53,47.8,45.3,9.2,9.2,0.486,17,24.6,0.305
191,Morehead State,31,19,12,0.613,0.62,-2.28,11,5,12,2,6,9,2243,2084,,66.5,100.3,0.507,0.353,0.546,46,50.3,7.9,9.8,0.496,19.5,24.6,0.364
192,Morgan State,31,9,22,0.29,-12.19,-7.59,6,10,6,6,2,15,2089,2223,,69.1,102.9,0.375,0.32,0.537,52.5,53.8,8.1,10.2,0.506,18.1,29.8,0.254
193,Mount St. Mary's,33,14,19,0.424,-9.58,-7.64,10,8,9,3,5,15,2218,2282,,69.7,98.2,0.404,0.289,0.542,56,45.2,8.5,8.1,0.502,21.5,28.4,0.288
194,Murray State,31,17,14,0.548,-1.47,-2.96,10,6,10,4,4,8,2212,2093,,65.6,102.4,0.409,0.334,0.554,48.8,50.9,8.4,6.5,0.516,18,25,0.294
195,Navy,33,19,14,0.576,-4.72,-6.78,9,9,6,9,11,4,2230,2135,,64.9,98.2,0.389,0.415,0.526,46.5,58.3,9,7.5,0.486,17.9,27.5,0.274
196,Nebraska-Omaha,31,18,13,0.581,0.26,-1.88,10,6,9,4,7,8,2617,2499,,75.9,104.9,0.358,0.354,0.558,50.9,49.2,8.1,8.6,0.518,17.5,30.9,0.27
197,Nebraska,34,16,18,0.471,9.16,5.9,6,12,10,8,3,8,2456,2345,,67,102.1,0.397,0.34,0.541,48.6,53.6,7.8,9.5,0.501,17.2,27.1,0.285
198,Nevada-Las Vegas,33,18,15,0.545,5.46,3.14,8,10,13,3,2,10,2581,2427,,74,97.2,0.395,0.323,0.51,50.2,46.9,8.5,9.1,0.468,17.5,30.2,0.275
199,Nevada,32,19,13,0.594,2.09,2.22,10,8,11,3,5,9,2383,2287,,72.5,96.7,0.414,0.357,0.492,48.8,55.5,8,7.2,0.449,15.7,31,0.281
200,New Hampshire,31,19,12,0.613,-8.24,-7.14,11,5,11,3,8,9,2203,2164,,68.4,101.2,0.329,0.368,0.528,46.3,41.3,7.6,9,0.495,14,20.5,0.232
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
201,New Mexico State,33,23,10,0.697,3.51,-3.91,13,1,15,2,7,7,2368,2087,,66.8,93.2,0.281,0.319,0.474,43.3,46.4,7.9,4.9,0.443,14.3,29.1,0.188
202,New Mexico,32,17,15,0.531,5.14,2.51,10,8,12,4,5,7,2432,2348,,72.2,101.3,0.371,0.397,0.52,47.3,56,10.7,10.5,0.485,15,33.9,0.254
203,New Orleans,30,10,20,0.333,-14.03,-8,6,12,7,5,3,14,2249,2325,,74,104.3,0.427,0.367,0.56,49.5,56.6,10.9,10.4,0.521,19.4,29.1,0.306
204,Niagara,32,7,25,0.219,-10.91,-3.51,5,15,5,8,1,14,2067,2304,,67.2,105.4,0.355,0.363,0.532,49.5,58.4,8.9,10.9,0.49,14.7,30.3,0.263
205,Nicholls State,34,11,23,0.324,-16.48,-5.03,6,12,8,4,1,17,2298,2598,,71.6,105.5,0.392,0.316,0.539,54,52.7,11.3,10.6,0.502,16.5,34,0.275
206,NJIT,31,17,14,0.548,-4.95,-4.95,8,6,9,6,8,8,2339,2310,,70.6,104.7,0.364,0.414,0.541,51.2,58.5,8.4,11.3,0.515,16.7,32.4,0.24
207,Norfolk State,33,17,16,0.515,-6.58,-6.77,12,4,9,2,7,9,2440,2408,,68.9,105.1,0.421,0.368,0.534,50.5,58,6,10.1,0.489,16.5,35.1,0.303
208,North Carolina-Asheville,33,22,11,0.667,1.65,-3.81,12,6,11,3,6,7,2496,2227,,70.6,94.9,0.325,0.357,0.509,48.5,44.1,9.5,5.9,0.473,19.3,29.3,0.227
209,North Carolina A&amp;T,32,10,22,0.313,-16.46,-8.17,7,9,8,6,2,13,2169,2433,,68.7,108.5,0.484,0.418,0.552,50.9,59.4,8.4,8.4,0.515,15.5,29.9,0.328
210,North Carolina Central,32,13,19,0.406,-12.6,-9.64,7,9,8,5,3,12,2220,2235,,67.7,102.7,0.377,0.369,0.53,48.7,54.5,8,10,0.494,16.9,30.8,0.262
211,North Carolina-Greensboro,32,14,18,0.438,-5.71,-2.78,10,8,11,4,3,13,2333,2357,,68.5,106.7,0.386,0.403,0.557,50.3,55.3,7.2,8.5,0.515,15.5,26.7,0.287
212,North Carolina State,33,16,17,0.485,10.09,9.3,5,13,11,7,3,8,2482,2456,,68.3,108.1,0.297,0.365,0.534,47.3,53.1,9,9.7,0.506,12.9,29.5,0.206
213,North Carolina-Wilmington,32,25,7,0.781,6.37,0,14,4,12,2,8,5,2535,2286,,71.3,99,0.534,0.29,0.522,49.3,45.7,6.9,7.6,0.466,18.3,30.4,0.376
214,North Carolina,34,28,6,0.824,23.04,10.34,14,4,15,1,6,5,2797,2365,,70.7,98.5,0.297,0.356,0.507,44.4,45.7,8.2,6.5,0.474,16.2,32.5,0.208
215,North Dakota State,33,20,13,0.606,-0.68,-2.74,8,8,12,1,4,11,2271,2129,,65.8,97.7,0.31,0.313,0.507,49.2,48.6,8.1,7.7,0.472,15.4,26.3,0.219
216,North Dakota,32,17,15,0.531,-3.78,-5.16,10,8,10,4,4,9,2388,2277,,72.4,97.2,0.371,0.389,0.525,49.6,53.9,8.7,6.9,0.502,18,26.5,0.232
217,North Florida,33,22,11,0.667,-0.97,-4.53,10,4,14,2,7,9,2797,2607,,72.2,109.4,0.265,0.263,0.528,52.9,47,8.4,7.9,0.505,12.8,38.5,0.178
218,North Texas,32,12,20,0.375,-9.77,-3.17,7,11,11,7,1,12,2386,2505,,71.9,108.4,0.417,0.343,0.557,50.4,49.5,9.8,9.3,0.522,15.2,29.1,0.29
219,Northeastern,33,18,15,0.545,1.91,1.66,9,9,7,7,8,7,2376,2339,,66,103.8,0.279,0.339,0.534,51.1,54.9,8.3,10.5,0.513,15.4,29.9,0.182
220,Northern Arizona,30,5,25,0.167,-18.11,-2.65,3,15,4,9,1,15,2054,2438,,70.9,112.2,0.336,0.382,0.58,54.2,52.9,8.6,9.3,0.551,15.3,26.6,0.244
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
221,Northern Colorado,31,10,21,0.323,-12.03,-3.82,7,11,7,9,3,10,2292,2482,,69.9,114.5,0.468,0.398,0.592,49.9,55.4,8.2,8.2,0.55,15.6,28.8,0.348
222,Northern Illinois,33,21,12,0.636,-0.11,-1.11,9,9,18,1,3,10,2400,2215,,69.3,96.2,0.398,0.413,0.51,47,57.4,8.3,9.3,0.473,18,26.9,0.268
223,Northern Iowa,34,22,12,0.647,8.22,3.58,11,7,11,3,6,8,2312,2139,,63.7,98.3,0.229,0.393,0.512,53.1,52.4,7.5,9,0.485,16.1,29.6,0.166
224,Northern Kentucky,30,9,21,0.3,-6.79,-0.62,5,13,7,7,2,13,2116,2233,,69.4,106.4,0.413,0.325,0.542,50.9,52.7,9.6,10.5,0.497,14.6,29.9,0.304
225,Northwestern State,28,8,20,0.286,-15.52,-5.44,5,13,6,7,2,13,2224,2413,,75.2,114.6,0.368,0.323,0.571,54.5,54.6,11.2,8.2,0.54,15.7,39.5,0.261
226,Northwestern,32,20,12,0.625,10.51,4.48,8,10,14,4,5,6,2304,2111,,64.3,100.6,0.35,0.369,0.507,48.6,62.6,7.5,9,0.465,14.4,29,0.253
227,Notre Dame,32,21,11,0.656,14.26,9.13,11,7,14,2,5,5,2423,2259,,65.4,107.5,0.269,0.342,0.522,48.6,52.1,7.9,8.2,0.492,12.6,34.1,0.193
228,Oakland,32,21,11,0.656,5.68,-1.73,13,5,8,4,11,5,2762,2525,,74.8,105.1,0.323,0.354,0.529,47.9,54.9,7.1,7.8,0.496,14.2,31.6,0.228
229,Ohio State,33,20,13,0.606,9.8,7.37,11,7,14,5,4,6,2324,2244,,67.8,99.1,0.307,0.365,0.504,48.7,51.2,7.2,5.7,0.468,15.2,30.8,0.22
230,Ohio,32,21,11,0.656,2.32,-0.94,11,7,14,2,5,6,2508,2383,,70.1,105.9,0.348,0.34,0.536,48.8,45.6,8.4,7.8,0.499,13.1,28.7,0.252
231,Oklahoma State,32,12,20,0.375,8.76,9.39,3,15,8,8,1,9,2128,2148,,65,102.1,0.409,0.357,0.508,50.9,49.5,9.7,8.7,0.471,15,35.5,0.272
232,Oklahoma,32,25,7,0.781,20.91,10.94,12,6,14,1,7,5,2573,2254,,71.3,97.7,0.273,0.35,0.493,48.4,41.8,9.8,9.2,0.464,15.2,34.1,0.185
233,Old Dominion,35,22,13,0.629,4.11,-2.55,12,6,11,4,7,6,2397,2164,,62.9,97.6,0.364,0.355,0.497,45.6,49.7,6.8,7.4,0.453,15,26.8,0.26
234,Oral Roberts,31,14,17,0.452,-2.45,0.83,6,10,8,4,4,12,2356,2384,,71.2,107.6,0.312,0.324,0.544,49.8,44.8,8.3,6.3,0.51,14,30.4,0.228
235,Oregon State,31,19,12,0.613,10.99,9.55,9,9,12,3,4,7,2234,2169,,68.4,102.3,0.391,0.39,0.528,51.5,58.5,7.4,9.6,0.491,17.1,31.8,0.271
236,Oregon,34,28,6,0.824,18.14,8.99,14,4,18,0,5,5,2680,2350,,69.7,98.9,0.316,0.34,0.519,47.7,53.2,6.6,8.1,0.486,17.9,32.9,0.221
237,Pacific,28,8,20,0.286,-3.46,2.47,6,12,6,8,2,11,1948,2009,,67.7,104.1,0.476,0.367,0.536,49.4,54.5,8.8,9.5,0.491,15.4,28.7,0.332
238,Penn State,32,16,16,0.5,3.58,7.36,7,11,11,4,3,8,2107,2228,,66.2,104.4,0.425,0.353,0.531,51,51.7,8.6,9.2,0.488,15.3,27.9,0.301
239,Pennsylvania,28,11,17,0.393,-6.27,-2.23,5,9,9,6,2,11,1911,2013,,68.3,104.3,0.333,0.315,0.526,50.7,47.4,9.1,10.7,0.498,14.6,30.5,0.223
240,Pepperdine,31,18,13,0.581,2.89,1.99,10,8,10,3,6,7,2277,2208,,68.2,102.8,0.318,0.339,0.518,49.2,50.5,7.9,6.3,0.491,14.1,30,0.212
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
241,Pittsburgh,32,21,11,0.656,15.71,8.65,9,9,15,4,3,6,2433,2173,,66.7,101.1,0.331,0.342,0.524,44.7,55.2,8.4,8.4,0.497,15.4,27.7,0.219
242,Portland State,31,13,18,0.419,-8,-5.79,8,10,8,6,4,11,2408,2409,,73.3,106.1,0.323,0.329,0.556,50.8,51.2,9.3,5.3,0.528,17,29.9,0.227
243,Portland,32,12,20,0.375,-2.11,0.67,6,12,8,7,3,9,2483,2552,,72.7,109.3,0.407,0.359,0.555,52.1,51.5,7.8,9.6,0.52,15.9,32.7,0.283
244,Prairie View,31,7,24,0.226,-17.13,-6.52,7,11,4,6,3,16,1873,2202,,68.9,103.1,0.474,0.327,0.549,53.9,55.5,10.4,11.1,0.507,20.1,31.7,0.331
245,Presbyterian,31,11,20,0.355,-13.03,-4.64,5,13,7,8,3,11,2093,2259,,69.6,104.3,0.38,0.415,0.546,51.6,53,10,10.4,0.515,17.1,29.8,0.259
