Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
29,Bowling Green State,34,16,18,0.471,-5.71,-1.68,5,13,7,8,7,8,2400,2457,,69.3,104.2,0.346,0.377,0.533,49.4,44.4,8.8,7.6,0.502,15,29.1,0.239
30,Bradley,32,5,27,0.156,-10.92,3.69,3,15,4,11,1,12,1793,2238,,67.1,103.4,0.517,0.325,0.536,50.9,53.9,11.4,9.8,0.496,15.4,25.9,0.344
31,Brigham Young,33,23,10,0.697,12.08,1.61,13,5,14,2,6,6,2758,2382,,73.8,97.5,0.322,0.376,0.513,46.7,53.4,7.3,8.4,0.475,15.8,24.7,0.233
32,Brown,28,8,20,0.286,-8.06,-2.84,3,11,7,6,1,13,2040,2155,,70.5,107.3,0.357,0.355,0.534,51.7,53,10.8,9.8,0.502,14,32.9,0.245
33,Bryant,31,8,23,0.258,-18.29,-6.42,5,13,4,10,4,13,2018,2361,,68.4,110.5,0.313,0.404,0.547,53.7,57.1,10.1,9.6,0.514,13.9,33.2,0.228
34,Bucknell,30,17,13,0.567,-1.72,-6,14,4,8,7,9,6,2368,2198,,71.4,100.5,0.416,0.357,0.522,48.2,57.4,9.7,11.4,0.487,16,30.7,0.278
35,Buffalo,34,20,14,0.588,1.29,0.62,10,8,10,5,5,9,2637,2555,,72.6,102.8,0.37,0.362,0.532,48,50.9,7.7,8.6,0.493,15.9,28.8,0.264
36,Butler,31,21,10,0.677,16.23,6.81,10,8,13,3,5,5,2498,2206,,70.2,101,0.362,0.369,0.531,47.4,50.9,6.5,10.7,0.494,16.6,27.8,0.257
37,Cal Poly,30,10,20,0.333,-3.19,1.2,4,12,5,7,3,12,2171,2255,,67.8,109,0.383,0.318,0.555,50.2,57.4,7.3,8.8,0.522,14,24.6,0.266
38,Cal State Bakersfield,32,24,8,0.75,2.69,-5.79,11,3,14,1,7,7,2337,2022,,68.4,91.7,0.423,0.343,0.493,47.2,48.5,7.7,7.3,0.446,19.4,29.3,0.292
39,Cal State Fullerton,30,10,20,0.333,-6.89,-0.54,3,13,5,8,5,9,2104,2227,,70,105.6,0.379,0.386,0.538,49.5,58,7.7,10.5,0.497,14.3,27.3,0.277
40,Cal State Northridge,30,10,20,0.333,-6.58,-0.58,5,11,5,7,4,12,2143,2261,,71.3,103.5,0.347,0.331,0.535,51.4,57.8,9,8.7,0.504,16.6,31.5,0.237
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
41,UC-Davis,30,11,19,0.367,-5.32,-1,6,10,8,7,3,11,1914,1980,,67.1,96.3,0.302,0.37,0.506,50.6,57.9,10.8,9,0.471,17.4,29.1,0.216
42,UC-Irvine,34,25,9,0.735,5.68,1.09,13,3,11,2,10,4,2417,2240,,67.1,97.4,0.336,0.361,0.493,48.3,63.3,7.8,5.9,0.448,14.9,32.1,0.247
43,UC-Riverside,33,14,19,0.424,-5.44,-2.86,5,11,7,9,7,9,2299,2300,,68.7,101.5,0.383,0.313,0.523,49.4,53.8,9.2,10.2,0.481,15.3,28.1,0.274
44,UC-Santa Barbara,31,18,13,0.581,4.46,1.69,11,5,6,5,10,6,2216,2092,,68.5,98.1,0.41,0.417,0.506,48.7,56.1,7.3,7.4,0.463,16,29.3,0.283
45,University of California,33,23,10,0.697,16.35,8.26,12,6,18,0,4,7,2479,2212,,68.1,97.3,0.372,0.265,0.485,45.5,47.4,7.4,7.8,0.44,12.4,28.5,0.262
46,Campbell,30,12,18,0.4,-10.73,-6.33,5,13,7,9,5,8,2207,2203,,70,104.5,0.38,0.315,0.546,53.4,45.6,8.5,7.6,0.516,16.9,30.3,0.257
47,Canisius,33,14,19,0.424,-5.23,-3.38,8,12,7,7,4,11,2526,2587,,68.8,110.9,0.39,0.384,0.583,52.4,59,7.5,9.7,0.549,17.2,27.8,0.283
