North Carolina-Wilmington,0,North Carolina-Wilmington,0,Oregon,0,Middle Tennessee,0,Northern Iowa,0,Oregon,0,Oregon,0,Northern Iowa,0,North Carolina-Wilmington,0,Holy Cross,0,Middle Tennessee,0,Duke,0,Yale,0,Cincinnati,0,University of California,6,Texas,0,Texas,0,Duke,0,Texas,0,Texas,0,Duke,0,Duke,0,Texas,0,Texas A&amp;M,0,Texas A&amp;M,0,Duke,0,Texas A&amp;M,0,Michigan State,0,Saint Joseph's,0,Cal State Bakersfield,3,North Carolina-Wilmington,0,Yale,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Yale,0,Baylor,0,Virginia Commonwealth,0,Middle Tennessee,0,Baylor,0,Baylor,0,Weber State,4,North Carolina-Asheville,0,Duke,0,Texas,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Texas,0,Texas,0,North Carolina-Asheville,0,Baylor,0,Northern Iowa,0,Cincinnati,0,Yale,0,Oregon,0,Oregon,0,Arkansas-Little Rock,4,Texas A&amp;M,5,Dayton,4,Xavier,4
Duke,0,Duke,0,Texas,0,Oregon,0,Texas,0,Texas,0,Texas,0,Texas,0,Texas A&amp;M,0,Texas,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Duke,0,Texas,0,Hawaii,4,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Yale,0,Yale,0,North Carolina-Wilmington,0,Yale,0,Yale,0,North Carolina-Wilmington,0,Northern Iowa,0,Northern Iowa,0,Yale,0,Northern Iowa,0,Virginia Commonwealth,0,Austin Peay,0,Yale,2,Duke,0,Baylor,0,Duke,0,Duke,0,Duke,0,Duke,0,Duke,0,Duke,0,Northern Iowa,0,Cincinnati,0,Duke,0,Virginia Commonwealth,0,Yale,0,Holy Cross,0,Stony Brook,4,North Carolina-Wilmington,0,Yale,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Villanova,0,Texas,0,Baylor,0,Middle Tennessee,0,Holy Cross,0,Holy Cross,0,Texas Tech,3,Oregon,4,Kentucky,4,Wisconsin,4
Yale,0,Yale,0,Northern Iowa,0,Northern Iowa,0,Oregon,0,Northern Iowa,0,Northern Iowa,0,Oregon,0,Northern Iowa,0,Northern Iowa,0,Texas,0,Texas A&amp;M,0,North Carolina-Wilmington,0,Northern Iowa,0,Wichita State,2,Duke,0,Duke,0,Baylor,0,Baylor,0,Duke,0,Baylor,0,Baylor,0,Duke,0,Texas,0,Texas,0,Baylor,0,Texas,0,Oregon State,0,Colorado,0,Green Bay,2,Yale,0,Cincinnati,0,Yale,0,Yale,0,Yale,0,Yale,0,Yale,0,Yale,0,North Carolina-Wilmington,0,Saint Joseph's,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Duke,0,Oregon,0,Michigan,2,Texas,0,Baylor,0,North Carolina-Asheville,0,Texas,0,Texas,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Texas,0,Yale,0,North Carolina-Wilmington,0,Texas,0,Villanova,0,Saint Joseph's,0,Saint Joseph's,0,Middle Tennessee,3,Cincinnati,3,Michigan,3,Oklahoma,3
Baylor,0,Baylor,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Holy Cross,0,Texas A&amp;M,0,Northern Iowa,0,Northern Iowa,0,Oregon State,0,Texas A&amp;M,0,North Carolina-Asheville,1,Yale,0,Yale,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Yale,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Cincinnati,0,Cincinnati,0,Green Bay,0,Connecticut,0,Northern Iowa,2,Baylor,0,Saint Joseph's,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Texas,0,Holy Cross,0,Texas,0,Texas,0,Middle Tennessee,0,North Carolina-Asheville,0,Florida Gulf Coast,2,Northern Iowa,0,Cincinnati,0,Northern Iowa,0,Northern Iowa,0,Northern Iowa,0,Northern Iowa,0,Northern Iowa,0,Northern Iowa,0,Duke,0,Duke,0,Duke,0,Duke,0,Cincinnati,0,Cincinnati,0,Fresno State,2,Baylor,3,Seton Hall,3,Texas A&amp;M,3
Cincinnati,0,Cincinnati,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Texas A&amp;M,0,Holy Cross,0,Northern Iowa,0,Green Bay,0,Colorado,1,Baylor,0,Baylor,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Baylor,0,Duke,0,Duke,0,Saint Joseph's,0,Saint Joseph's,0,Texas A&amp;M,0,North Carolina-Wilmington,0,Holy Cross,2,Cincinnati,0,Holy Cross,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Virginia Commonwealth,0,Oregon,0,Northern Iowa,0,Northern Iowa,0,Green Bay,0,Yale,0,Southern California,1,Texas A&amp;M,0,Saint Joseph's,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,North Carolina-Wilmington,0,Yale,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Middle Tennessee,0,Texas,0,Syracuse,2,University of California,2,Utah,3,South Dakota State,3
Saint Joseph's,0,Saint Joseph's,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Green Bay,0,Green Bay,0,Texas A&amp;M,0,Oregon State,0,Buffalo,0,Cincinnati,0,Cincinnati,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Yale,0,Yale,0,Holy Cross,0,Holy Cross,0,Northern Iowa,0,Duke,0,Saint Joseph's,2,Saint Joseph's,0,Oregon,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Texas A&amp;M,0,North Carolina-Asheville,0,Texas A&amp;M,0,Texas A&amp;M,0,North Carolina-Wilmington,0,Duke,0,Holy Cross,0,Green Bay,0,Holy Cross,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Texas,0,Baylor,0,Villanova,0,Texas,0,Temple,0,Yale,0,Iowa,0,Wichita State,2,Arkansas-Little Rock,2,Indiana,3
Holy Cross,0,Holy Cross,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Oregon State,0,Oregon State,0,Green Bay,0,Virginia Commonwealth,0,Duke,0,Saint Joseph's,0,Saint Joseph's,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Baylor,0,Baylor,0,Oregon,0,Oregon,0,Texas,0,Yale,0,Wichita State,0,Holy Cross,0,North Carolina-Asheville,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Texas,0,North Carolina-Wilmington,0,Saint Joseph's,0,Oregon State,0,Oregon,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Northern Iowa,0,Cincinnati,0,Northern Iowa,0,Northern Iowa,0,Baylor,0,Duke,0,Duke,0,Miami (FL),2,North Carolina,2,Notre Dame,3
North Carolina-Asheville,0,Middle Tennessee,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Saint Joseph's,0,Saint Joseph's,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Saint Joseph's,0,Duke,0,Virginia Commonwealth,0,North Carolina-Asheville,0,Holy Cross,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Cincinnati,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Baylor,0,Austin Peay,0,North Carolina-Asheville,0,Middle Tennessee,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Holy Cross,0,Yale,0,Holy Cross,0,Holy Cross,0,Northern Iowa,0,Texas,0,Cincinnati,0,Oregon,0,North Carolina-Asheville,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Texas A&amp;M,0,Saint Joseph's,0,Texas A&amp;M,0,Texas A&amp;M,0,Yale,0,North Carolina-Wilmington,0,Yale,0,Oregon State,2,Providence,2,North Carolina,2
Michigan State,0,Michigan State,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Middle Tennessee,0,Saint Joseph's,0,Saint Joseph's,0,Virginia Commonwealth,0,Yale,0,Oregon State,0,Villanova,0,Oregon,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Saint Joseph's,0,Villanova,0,Villanova,0,Villanova,0,Cincinnati,0,Colorado,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oregon,0,Middle Tennessee,0,Oregon,0,Oregon,0,Saint Joseph's,0,Northern Iowa,0,Baylor,0,Temple,0,Villanova,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Green Bay,0,Holy Cross,0,Green Bay,0,Green Bay,0,Duke,0,Villanova,0,Baylor,0,Northern Iowa,1,Chattanooga,2,Wichita State,2
Villanova,0,Temple,0,Michigan State,0,Michigan State,0,Michigan State,0,Michigan State,0,Michigan State,0,Michigan State,0,Oregon,0,Oregon,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Cincinnati,0,Baylor,0,Green Bay,0,Temple,0,Michigan State,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Holy Cross,0,Temple,0,Temple,0,Temple,0,Holy Cross,0,Connecticut,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,North Carolina-Asheville,0,Virginia Commonwealth,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Holy Cross,0,Saint Joseph's,0,Yale,0,Villanova,0,Temple,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Wilmington,0,Northern Iowa,0,Cincinnati,0,North Carolina-Asheville,1,Stony Brook,2,Kentucky,2
