Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
328,Virginia Commonwealth,34,24,10,0.706,13.73,3.82,14,4,15,2,7,4,2625,2288,,1370,953,2116,0.45,247,694,0.356,472,684,0.69,425,1270,486,299,130,385,665
329,VMI,30,9,21,0.3,-12.58,-2.76,4,14,8,6,1,14,2081,2264,,1205,729,1770,0.412,263,783,0.336,360,498,0.723,290,996,330,184,126,394,586
330,Virginia Tech,33,19,14,0.576,10.15,7.67,10,8,13,5,4,6,2461,2379,,1340,818,1822,0.449,191,535,0.357,634,906,0.7,342,1140,402,178,113,422,634
331,Virginia,33,26,7,0.788,22.06,11.36,13,5,15,0,5,6,2322,1969,,1325,849,1744,0.487,198,490,0.404,426,565,0.754,296,1053,473,181,97,309,540
332,Wagner,32,22,10,0.688,-4.46,-10.42,13,5,13,4,9,6,2256,2047,,1285,809,1896,0.427,190,577,0.329,448,629,0.712,448,1282,426,221,131,423,696
333,Wake Forest,31,11,20,0.355,5.78,10.78,2,16,6,9,3,9,2295,2450,,1250,793,1804,0.44,195,618,0.316,514,779,0.66,377,1186,434,184,138,451,649
334,Washington State,31,9,22,0.29,0.93,8.4,1,17,8,9,0,10,2187,2394,,1260,805,1760,0.457,184,530,0.347,393,551,0.713,247,1048,419,155,134,434,615
335,Washington,32,18,14,0.563,12.15,8.56,9,9,12,5,3,6,2668,2553,,1305,902,2124,0.425,240,720,0.333,624,863,0.723,442,1278,461,245,213,441,767
336,Weber State,34,26,8,0.765,0.29,-5.77,15,3,13,1,6,7,2609,2273,,1380,886,1828,0.485,287,764,0.376,550,810,0.679,289,1269,468,167,117,452,597
337,West Virginia,34,26,8,0.765,22.9,10.31,13,5,13,2,7,4,2693,2265,,1370,927,2050,0.452,206,627,0.329,633,945,0.67,541,1332,502,338,86,476,792
338,Western Carolina,33,16,17,0.485,-4.54,-1.14,10,8,12,2,3,14,2405,2411,,1345,827,1922,0.43,234,706,0.331,517,736,0.702,389,1201,413,265,109,474,677
339,Western Illinois,27,10,17,0.37,-5.97,-1.09,3,13,7,6,3,11,1904,1914,,1080,676,1521,0.444,190,490,0.388,362,502,0.721,233,948,361,163,89,332,555
340,Western Kentucky,34,18,16,0.529,-1.22,-0.82,8,10,12,4,3,9,2620,2586,,1385,925,1970,0.47,233,643,0.362,537,768,0.699,404,1311,463,151,139,449,610
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
341,Western Michigan,32,13,19,0.406,-1.83,0.3,7,11,10,5,2,12,2342,2352,,1310,786,1824,0.431,197,569,0.346,573,805,0.712,359,1190,382,183,80,398,633
342,Wichita State,32,24,8,0.75,16.61,2.9,16,2,14,1,9,3,2343,1896,,1290,801,1846,0.434,234,710,0.33,507,710,0.714,373,1199,460,231,118,316,644
343,William &amp; Mary,31,20,11,0.645,5.85,1.58,11,7,12,3,7,7,2384,2205,,1250,843,1755,0.48,241,652,0.37,457,636,0.719,263,1142,501,170,132,331,512
344,Winthrop,32,23,9,0.719,-1.05,-5.32,13,5,14,1,7,7,2631,2429,,1280,890,1869,0.476,285,768,0.371,566,756,0.749,291,1160,378,174,175,403,602
345,Wisconsin,32,20,12,0.625,13.49,9.17,12,6,13,5,6,5,2204,2066,,1290,751,1748,0.43,211,590,0.358,491,694,0.707,368,1117,371,188,102,350,541
346,Wofford,32,15,17,0.469,-3.44,-2.04,11,7,11,2,4,14,2296,2295,,1295,771,1725,0.447,270,662,0.408,484,645,0.75,273,1013,470,163,56,377,608
347,Wright State,35,22,13,0.629,0.21,-1.73,13,5,13,2,5,9,2399,2303,,1405,856,1916,0.447,256,687,0.373,431,621,0.694,232,1094,478,193,75,395,770
348,Wyoming,32,14,18,0.438,0.09,2.19,7,11,10,6,4,8,2294,2302,,1295,720,1626,0.443,319,857,0.372,535,747,0.716,179,989,392,132,84,358,594
349,Xavier,32,27,5,0.844,18.73,8.42,14,4,15,1,8,3,2603,2273,,1280,876,1938,0.452,243,672,0.362,608,832,0.731,418,1308,524,234,98,406,645
350,Yale,28,22,6,0.786,8.62,-2.35,13,1,12,0,9,6,2105,1768,,1125,744,1579,0.471,181,484,0.374,436,657,0.664,378,1130,425,162,128,375,497
351,Youngstown State,32,11,21,0.344,-10.83,-0.83,6,12,6,8,3,11,2437,2682,,1305,870,2021,0.43,257,704,0.365,440,619,0.711,283,1081,467,219,80,387,571
