,Team_ID,Date,Var.5,Opponent,School,School_url,Var.8,Opponent_url,Pace,EFG,TOV,ORB,FTFGA,O_EFG,O_TOV,O_ORB,O_FTFGA
8116,southern-illinois-edwardsville,"Fri, Nov 13, 2015",,Arkansas State,SIU Edwardsville,southern-illinois-edwardsville,W,arkansas-state,82.1,0.445,8.8,25.7,0.545,0.328,10.2,39.0,0.122
8144,southern-illinois,"Fri, Nov 13, 2015",,Air Force,Southern Illinois,southern-illinois,W,air-force,71.0,0.463,5.9,36.8,0.224,0.471,15.5,29.6,0.529
8173,southern-methodist,"Sat, Nov 14, 2015",,Sam Houston State,Southern Methodist,southern-methodist,W,sam-houston-state,67.2,0.704,19.0,36.4,0.327,0.328,13.7,26.8,0.164
8201,southern-mississippi,"Sat, Nov 14, 2015",@,Memphis,Southern Mississippi,southern-mississippi,L,memphis,69.6,0.336,19.5,39.1,0.06,0.422,9.2,21.2,0.31
8259,southern,"Fri, Nov 13, 2015",@,Arkansas,Southern,southern,L,arkansas,79.3,0.453,20.7,13.8,0.377,0.545,15.3,41.9,0.212
8348,st-johns-ny,"Fri, Nov 13, 2015",,Wagner,St. John's (NY),st-johns-ny,W,wagner,69.7,0.543,19.4,16.7,0.319,0.383,14.9,27.8,0.183
8401,stephen-f-austin,"Fri, Nov 13, 2015",@,Baylor (22),Stephen F. Austin,stephen-f-austin,L,baylor,71.6,0.375,16.8,14.3,0.308,0.723,10.8,22.7,0.286
8544,tennessee-martin,"Fri, Nov 13, 2015",@,Oklahoma State,Tennessee-Martin,tennessee-martin,L,oklahoma-state,68.5,0.411,13.7,13.9,0.196,0.619,6.7,22.6,0.305
8573,tennessee-state,"Fri, Nov 13, 2015",@,Loyola (MD),Tennessee State,tennessee-state,W,loyola-md,77.4,0.573,19.2,25.0,0.418,0.4,15.0,28.9,0.491
8657,texas-am-corpus-christi,"Fri, Nov 13, 2015",,Our Lady of the Lake,Texas A&amp;M-Corpus Christi,texas-am-corpus-christi,W,our-lady-of-the-lake,90.7,,,,,0.523,24.3,48.6,0.4
8714,texas-arlington,"Sat, Nov 14, 2015",,Fordham,Texas-Arlington,texas-arlington,W,fordham,72.4,0.5,16.8,40.0,0.185,0.541,20.1,28.1,0.098
8745,texas-christian,"Fri, Nov 13, 2015",,Southeastern Louisiana,Texas Christian,texas-christian,W,southeastern-louisiana,82.9,0.551,21.4,36.0,0.735,0.492,18.7,19.4,0.2
8774,texas-el-paso,"Sat, Nov 14, 2015",,Loyola (LA),Texas-El Paso,texas-el-paso,W,loyola-la,81.7,,,,,0.5,15.2,41.5,0.524
8803,texas-pan-american,"Fri, Nov 13, 2015",@,Miami (FL),Texas-Rio Grande Valley,texas-pan-american,L,miami-fl,72.7,0.464,18.8,14.3,0.145,0.5,8.4,29.0,0.387
8830,texas-san-antonio,"Fri, Nov 13, 2015",@,Loyola (IL),Texas-San Antonio,texas-san-antonio,L,loyola-il,72.6,0.49,28.4,27.6,0.275,0.563,27.0,31.8,0.333
