Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
30,Bradley,32,5,27,0.156,-10.92,3.69,3,15,4,11,1,12,1793,2238,,67.1,82.8,0.393,0.37,0.473,49.1,48.2,6.6,7.7,0.431,22.4,25,0.261
31,Brigham Young,33,23,10,0.697,12.08,1.61,13,5,14,2,6,6,2758,2382,,73.8,112.8,0.347,0.365,0.559,53.3,55.7,9,11.1,0.532,13.6,31.3,0.239
32,Brown,28,8,20,0.286,-8.07,-2.85,3,11,7,6,1,13,2040,2155,,70.5,101.6,0.369,0.393,0.534,48.3,59.4,7.5,10.2,0.498,16.5,26.5,0.259
33,Bryant,31,8,23,0.258,-18.29,-6.43,5,13,4,10,4,13,2018,2361,,68.4,94.5,0.268,0.342,0.498,46.3,55,8.2,7.4,0.475,17.2,26.3,0.172
34,Bucknell,30,17,13,0.567,-1.73,-6,14,4,8,7,9,6,2368,2198,,71.4,108.3,0.437,0.352,0.568,51.8,59.2,9,8.7,0.53,16.8,30.4,0.312
35,Buffalo,34,20,14,0.588,1.28,0.61,10,8,10,5,5,9,2637,2555,,72.6,106.1,0.415,0.368,0.541,52,48.5,9.5,9.4,0.5,16.2,32.7,0.295
36,Butler,31,21,10,0.677,16.22,6.8,10,8,13,3,5,5,2498,2206,,70.2,114.3,0.398,0.305,0.564,52.6,51.3,9.6,9.3,0.525,12.7,32.9,0.291
37,Cal Poly,30,10,20,0.333,-3.18,1.21,4,12,5,7,3,12,2171,2255,,67.8,104.9,0.345,0.376,0.515,49.8,56.3,7.9,8.2,0.482,12.9,30.2,0.233
38,Cal State Bakersfield,32,24,8,0.75,2.74,-5.75,11,3,14,1,7,7,2337,2022,,68.4,106,0.379,0.269,0.527,52.8,59,11.7,14.4,0.498,15.1,34.5,0.247
39,Cal State Fullerton,30,10,20,0.333,-6.88,-0.53,3,13,5,8,5,9,2104,2227,,70,99.8,0.436,0.342,0.512,50.5,43.6,7,4.5,0.467,16.2,29.8,0.302
40,Cal State Northridge,30,10,20,0.333,-6.58,-0.58,5,11,5,7,4,12,2143,2261,,71.3,98.1,0.427,0.247,0.517,48.6,56.8,9.3,7.9,0.469,17,27.4,0.306
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
41,UC-Davis,30,11,19,0.367,-5.31,-0.99,6,10,8,7,3,11,1914,1980,,67.1,93.1,0.346,0.288,0.511,49.4,49.1,9,4.5,0.484,18.7,25.1,0.221
42,UC-Irvine,34,25,9,0.735,5.69,1.1,13,3,11,2,10,4,2417,2240,,67.1,105.1,0.374,0.303,0.547,51.7,60,8.2,14.3,0.516,16,28.9,0.256
43,UC-Riverside,33,14,19,0.424,-5.43,-2.85,5,11,7,9,7,9,2299,2300,,68.7,101.5,0.364,0.389,0.533,50.6,52,7.5,7.9,0.497,16.9,28.7,0.256
44,UC-Santa Barbara,31,18,13,0.581,4.47,1.7,11,5,6,5,10,6,2216,2092,,68.5,103.9,0.268,0.35,0.535,51.3,58,8.9,9.4,0.508,15.9,29.6,0.189
45,University of California,33,23,10,0.697,16.36,8.27,12,6,18,0,4,7,2479,2212,,68.1,109.1,0.416,0.337,0.552,54.5,48.9,6,11.1,0.525,15.2,32.4,0.273
46,Campbell,30,12,18,0.4,-10.75,-6.34,5,13,7,9,5,8,2207,2203,,70,104.7,0.413,0.404,0.552,46.6,46.4,10.2,6.2,0.512,15.2,23.3,0.296
47,Canisius,33,14,19,0.424,-5.24,-3.39,8,12,7,7,4,11,2526,2587,,68.8,108.3,0.369,0.415,0.533,47.6,55.1,8.5,7.6,0.49,13.6,31,0.274
48,Central Arkansas,28,7,21,0.25,-14.93,-6.57,6,12,4,6,2,14,2110,2344,,73.7,102.2,0.419,0.3,0.531,50.4,50.4,7.4,9.4,0.499,17.1,31.3,0.276
49,Central Connecticut State,29,4,25,0.138,-22.06,-8.96,3,15,3,11,1,14,1888,2268,,68.8,93.4,0.311,0.282,0.483,48.8,50,6.3,9,0.448,17.2,29.9,0.211
50,Central Florida,30,12,18,0.4,0.37,3.2,6,12,8,8,4,9,2062,2147,,68.3,99.8,0.372,0.391,0.527,51.7,53,6.6,11.1,0.492,18.5,31.3,0.256
51,Central Michigan,32,17,15,0.531,-0.19,-0.95,10,8,13,3,4,8,2422,2325,,67.3,112,0.315,0.459,0.553,48.4,50.7,7,7,0.523,11.9,27.7,0.226
52,Charleston Southern,30,9,21,0.3,-10.59,-2.25,5,13,6,8,3,12,2146,2253,,70,101.4,0.283,0.448,0.523,48.9,49,7.2,6,0.506,15.7,27,0.176
