Team,games,Win,T_Pace,T_EFG,T_ORB,T_TOV,T_FTFGA,Team_stats,O_EFG,O_ORB,O_TOV,O_FTFGA,School,SOS
Gonzaga,11.0,W,65.1272727273,0.4874,22.18,16.95,0.2258,Santa Clara,0.504454545455,29.2181818182,15.0090909091,0.278,Santa Clara,1.97
Portland,13.0,L,66.1153846154,0.493166666667,23.6583333333,16.7166666667,0.262,Santa Clara,0.505076923077,28.9692307692,14.4076923077,0.283923076923,Santa Clara,1.97
Brigham Young,13.0,W,66.1153846154,0.493166666667,23.6583333333,16.7166666667,0.262,Santa Clara,0.505076923077,28.9692307692,14.4076923077,0.283923076923,Santa Clara,1.97
San Diego,14.0,L,67.0,0.485461538462,22.4153846154,16.3,0.258230769231,Santa Clara,0.509071428571,29.1428571429,13.8571428571,0.277142857143,Santa Clara,1.97
Pepperdine,15.0,L,66.5066666667,0.492857142857,23.1,16.3428571429,0.258857142857,Santa Clara,0.503733333333,29.3533333333,13.9666666667,0.2646,Santa Clara,1.97
Loyola Marymount,17.0,W,65.8588235294,0.4921875,22.58125,15.25,0.252875,Santa Clara,0.504117647059,29.5058823529,13.7941176471,0.259235294118,Santa Clara,1.97
San Francisco,17.0,W,65.8588235294,0.4921875,22.58125,15.25,0.252875,Santa Clara,0.504117647059,29.5058823529,13.7941176471,0.259235294118,Santa Clara,1.97
Gonzaga,18.0,W,65.9277777778,0.490235294118,23.1117647059,15.1882352941,0.242823529412,Santa Clara,0.503388888889,29.5,13.8166666667,0.263666666667,Santa Clara,1.97
Portland,20.0,L,66.81,0.492631578947,22.2789473684,14.5842105263,0.246947368421,Santa Clara,0.5104,28.96,14.19,0.2773,Santa Clara,1.97
San Francisco,20.0,W,66.81,0.492631578947,22.2789473684,14.5842105263,0.246947368421,Santa Clara,0.5104,28.96,14.19,0.2773,Santa Clara,1.97
San Diego,21.0,L,67.4,0.4917,22.64,14.63,0.2423,Santa Clara,0.50680952381,29.4047619048,14.1095238095,0.277714285714,Santa Clara,1.97
Brigham Young,22.0,W,67.5,0.494904761905,21.9142857143,14.5428571429,0.246619047619,Santa Clara,0.508318181818,29.0954545455,14.3636363636,0.280545454545,Santa Clara,1.97
Loyola Marymount,24.0,L,67.6125,0.490043478261,22.2565217391,14.1739130435,0.252130434783,Santa Clara,0.516625,28.3208333333,14.0541666667,0.26825,Santa Clara,1.97
Pepperdine,25.0,W,67.732,0.491916666667,21.9041666667,14.1416666667,0.252583333333,Santa Clara,0.51772,28.668,13.848,0.27576,Santa Clara,1.97
Saint Mary's (CA),26.0,W,67.3961538462,0.48904,21.804,14.3,0.24888,Santa Clara,0.519346153846,28.8461538462,13.4884615385,0.271769230769,Santa Clara,1.97
Pacific,27.0,L,67.3518518519,0.487461538462,21.8346153846,14.0653846154,0.250576923077,Santa Clara,0.517555555556,28.9777777778,13.5740740741,0.273111111111,Santa Clara,1.97
South Dakota,2.0,L,70.5,0.5355,39.8,16.0,0.3065,Northern Illinois,0.528,21.25,18.6,0.2025,Northern Illinois,-1.12
Wright State,3.0,L,67.2333333333,0.527333333333,38.4333333333,15.9666666667,0.356,Northern Illinois,0.525333333333,20.5666666667,18.4666666667,0.181666666667,Northern Illinois,-1.12
Idaho,5.0,L,71.84,0.527333333333,38.4333333333,15.9666666667,0.356,Northern Illinois,0.5332,27.34,15.94,0.2146,Northern Illinois,-1.12
Chicago State,7.0,L,71.6142857143,0.5156,37.98,15.28,0.3094,Northern Illinois,0.492142857143,25.3571428571,16.2285714286,0.230285714286,Northern Illinois,-1.12
Missouri,8.0,W,71.525,0.497166666667,37.2,14.55,0.310666666667,Northern Illinois,0.505125,25.9875,16.6125,0.24,Northern Illinois,-1.12
Ohio State,8.0,W,71.525,0.497166666667,37.2,14.55,0.310666666667,Northern Illinois,0.505125,25.9875,16.6125,0.24,Northern Illinois,-1.12
Florida International,10.0,L,70.94,0.46625,34.675,14.65,0.31025,Northern Illinois,0.4958,27.36,17.0,0.2555,Northern Illinois,-1.12
Illinois-Chicago,12.0,L,70.6833333333,0.467,35.3333333333,15.1777777778,0.312111111111,Northern Illinois,0.49725,29.625,16.9083333333,0.257666666667,Northern Illinois,-1.12
Ohio,14.0,L,71.2428571429,0.4817,35.0,15.43,0.34,Northern Illinois,0.492214285714,29.9071428571,15.9285714286,0.261214285714,Northern Illinois,-1.12
Eastern Michigan,14.0,L,71.2428571429,0.4817,35.0,15.43,0.34,Northern Illinois,0.492214285714,29.9071428571,15.9285714286,0.261214285714,Northern Illinois,-1.12
Toledo,15.0,L,71.22,0.485818181818,35.5181818182,15.9818181818,0.343181818182,Northern Illinois,0.492733333333,28.78,16.38,0.2748,Northern Illinois,-1.12
Western Michigan,16.0,W,71.175,0.488416666667,35.025,16.0416666667,0.327083333333,Northern Illinois,0.490625,28.26875,16.65625,0.2844375,Northern Illinois,-1.12
Central Michigan,18.0,L,71.6555555556,0.495,33.1928571429,16.6357142857,0.318857142857,Northern Illinois,0.495277777778,27.6833333333,16.9277777778,0.290388888889,Northern Illinois,-1.12
Toledo,19.0,L,71.8,0.487133333333,32.42,16.5933333333,0.310733333333,Northern Illinois,0.487736842105,27.3842105263,17.1684210526,0.280263157895,Northern Illinois,-1.12
Akron,20.0,W,71.78,0.486875,32.11875,16.71875,0.3020625,Northern Illinois,0.49175,26.815,17.21,0.2958,Northern Illinois,-1.12
Miami (OH),20.0,W,71.78,0.486875,32.11875,16.71875,0.3020625,Northern Illinois,0.49175,26.815,17.21,0.2958,Northern Illinois,-1.12
Buffalo,22.0,W,71.8681818182,0.480611111111,31.4444444444,16.7833333333,0.314388888889,Northern Illinois,0.496045454545,26.7272727273,17.0681818182,0.309409090909,Northern Illinois,-1.12
Ohio,22.0,W,71.8681818182,0.480611111111,31.4444444444,16.7833333333,0.314388888889,Northern Illinois,0.496045454545,26.7272727273,17.0681818182,0.309409090909,Northern Illinois,-1.12
Kent State,24.0,W,71.9083333333,0.48215,30.655,16.82,0.31505,Northern Illinois,0.501208333333,26.1833333333,16.8708333333,0.304,Northern Illinois,-1.12
Akron,24.0,L,71.9083333333,0.48215,30.655,16.82,0.31505,Northern Illinois,0.501208333333,26.1833333333,16.8708333333,0.304,Northern Illinois,-1.12
Bowling Green State,25.0,L,71.884,0.482333333333,30.6619047619,16.4095238095,0.309,Northern Illinois,0.50596,25.912,16.9,0.30072,Northern Illinois,-1.12
Ball State,26.0,W,71.7384615385,0.4835,30.6318181818,16.3090909091,0.300818181818,Northern Illinois,0.501884615385,26.1653846154,16.9730769231,0.300346153846,Northern Illinois,-1.12
Central Michigan,28.0,W,71.2892857143,0.474583333333,30.675,15.7958333333,0.299791666667,Northern Illinois,0.501642857143,26.3678571429,16.5857142857,0.294678571429,Northern Illinois,-1.12
Western Michigan,28.0,L,71.2892857143,0.474583333333,30.675,15.7958333333,0.299791666667,Northern Illinois,0.501642857143,26.3678571429,16.5857142857,0.294678571429,Northern Illinois,-1.12
Eastern Michigan,30.0,W,71.3533333333,0.481807692308,30.4692307692,16.4153846154,0.302538461538,Northern Illinois,0.496833333333,27.12,16.53,0.2962,Northern Illinois,-1.12
Ball State,30.0,L,71.3533333333,0.481807692308,30.4692307692,16.4153846154,0.302538461538,Northern Illinois,0.496833333333,27.12,16.53,0.2962,Northern Illinois,-1.12
Western Michigan,31.0,L,71.2161290323,0.487185185185,30.1333333333,16.1666666667,0.295111111111,Northern Illinois,0.498387096774,27.2451612903,16.5483870968,0.291258064516,Northern Illinois,-1.12
Army,2.0,W,76.55,0.368,16.05,21.6,0.3055,Binghamton,0.4535,21.2,17.2,0.291,Binghamton,-6.17
Cornell,3.0,W,74.4666666667,0.392666666667,17.9,20.4666666667,0.237,Binghamton,0.516333333333,21.8333333333,19.3,0.244333333333,Binghamton,-6.17
Central Connecticut State,3.0,L,74.4666666667,0.392666666667,17.9,20.4666666667,0.237,Binghamton,0.516333333333,21.8333333333,19.3,0.244333333333,Binghamton,-6.17
Boston University,5.0,W,72.86,0.4452,18.86,17.62,0.2454,Binghamton,0.5134,26.4,18.22,0.2418,Binghamton,-6.17
Colgate,5.0,L,72.86,0.4452,18.86,17.62,0.2454,Binghamton,0.5134,26.4,18.22,0.2418,Binghamton,-6.17
Michigan State,6.0,W,72.2,0.450666666667,21.6333333333,17.9333333333,0.295,Binghamton,0.481166666667,28.1,18.1166666667,0.225,Binghamton,-6.17
Oakland,7.0,W,71.8,0.412428571429,20.3714285714,17.2428571429,0.279,Binghamton,0.487142857143,28.8428571429,17.1571428571,0.213,Binghamton,-6.17
Buffalo,8.0,W,72.3375,0.423375,20.3875,17.2,0.25975,Binghamton,0.49175,28.8625,16.775,0.222625,Binghamton,-6.17
Saint Francis (PA),9.0,W,72.4222222222,0.429111111111,19.4666666667,17.2888888889,0.246,Binghamton,0.496333333333,28.2666666667,16.1777777778,0.225222222222,Binghamton,-6.17
Florida International,10.0,W,72.07,0.4292,19.14,17.17,0.2574,Binghamton,0.4996,27.63,16.45,0.2282,Binghamton,-6.17
Mount St. Mary's,12.0,L,71.3166666667,0.415416666667,18.775,16.6083333333,0.290666666667,Binghamton,0.492666666667,27.9416666667,16.65,0.220666666667,Binghamton,-6.17
Pennsylvania,12.0,W,71.3166666667,0.415416666667,18.775,16.6083333333,0.290666666667,Binghamton,0.492666666667,27.9416666667,16.65,0.220666666667,Binghamton,-6.17
Stony Brook,13.0,W,71.1153846154,0.404,19.4692307692,17.0615384615,0.304230769231,Binghamton,0.499846153846,28.0384615385,16.5692307692,0.219615384615,Binghamton,-6.17
New Hampshire,14.0,W,70.5214285714,0.403285714286,20.3142857143,17.2142857143,0.297642857143,Binghamton,0.497285714286,28.6142857143,16.25,0.216714285714,Binghamton,-6.17
Hartford,16.0,W,69.79375,0.4106875,21.8375,17.76875,0.2958125,Binghamton,0.4909375,27.5,15.26875,0.2306875,Binghamton,-6.17
