"Team_ID","Date","Var.5","Opponent","School","School_url","Opponent_url","Pace","EFG","TOV","ORB","FTFGA","O_EFG","O_TOV","O_ORB","O_FTFGA"
"abilene-christian","Fri, Nov 13, 2015","","University of the Southwest","Abilene Christian","abilene-christian","the-southwest","80.5",NA,NA,NA,NA,".541","12.7","44.4",".205"
"abilene-christian","Tue, Nov 17, 2015","","Howard Payne","Abilene Christian","abilene-christian","howard-payne","72.2",NA,NA,NA,NA,".518","19.7","31.0",".236"
"abilene-christian","Sun, Nov 22, 2015","@","Portland","Abilene Christian","abilene-christian","portland","78.6",".337","23.2","27.0",".423",".602","17.2","27.6",".156"
"abilene-christian","Tue, Nov 24, 2015","@","Colorado State","Abilene Christian","abilene-christian","colorado-state","69.2",".571","11.0","17.6",".286",".555","10.3","30.6",".370"
"abilene-christian","Thu, Dec 3, 2015","","New Hampshire","Abilene Christian","abilene-christian","new-hampshire","72.9",".560","16.5","14.8",".380",".583","15.6","24.2",".267"
"abilene-christian","Sat, Dec 5, 2015","@","Nebraska","Abilene Christian","abilene-christian","nebraska","70.1",".521","26.9","8.7",".298",".469","15.6","40.7",".551"
"abilene-christian","Sat, Dec 12, 2015","","Schreiner","Abilene Christian","abilene-christian","schreiner","67.9",NA,NA,NA,NA,".606","22.0","23.1",".115"
"abilene-christian","Fri, Dec 18, 2015","","UC-Riverside","Abilene Christian","abilene-christian","california-riverside","61.4",".436","12.8","28.1",".145",".552","18.0","20.7",".146"
"abilene-christian","Sun, Dec 20, 2015","@","Texas Christian","Abilene Christian","abilene-christian","texas-christian","71.9",".491","16.8","22.6",".321",".517","12.6","26.7",".345"
"abilene-christian","Tue, Dec 22, 2015","@","Drake","Abilene Christian","abilene-christian","drake","68.0",".509","10.9","18.8",".190",".729","16.9","20.0",".354"
"abilene-christian","Wed, Dec 30, 2015","","Hillsdale","Abilene Christian","abilene-christian","hillsdale","74.0",NA,NA,NA,NA,".596","14.1","39.3",".132"
"abilene-christian","Sat, Jan 2, 2016","@","Central Arkansas","Abilene Christian","abilene-christian","central-arkansas","72.7",".418","20.2","27.6",".291",".446","20.6","28.6",".196"
"abilene-christian","Sat, Jan 9, 2016","@","Nicholls State","Abilene Christian","abilene-christian","nicholls-state","71.0",".430","18.9","25.8",".228",".526","30.2","18.2",".564"
"abilene-christian","Tue, Jan 12, 2016","","Northwestern State","Abilene Christian","abilene-christian","northwestern-state","77.5",".460","13.3","41.9",".460",".455","16.2","16.1",".375"
"abilene-christian","Sat, Jan 16, 2016","@","Stephen F. Austin","Abilene Christian","abilene-christian","stephen-f-austin","64.6",".551","19.7","22.2",".163",".833","14.3","38.9",".130"
"abilene-christian","Tue, Jan 19, 2016","","McNeese State","Abilene Christian","abilene-christian","mcneese-state","67.0",".546","12.5","21.4",".296",".500","19.8","31.0",".288"
"abilene-christian","Sat, Jan 23, 2016","@","Incarnate Word","Abilene Christian","abilene-christian","incarnate-word","68.3",".489","21.2","11.1",".326",".633","21.0","20.0",".245"
"abilene-christian","Mon, Jan 25, 2016","@","Sam Houston State","Abilene Christian","abilene-christian","sam-houston-state","67.1",".385","13.1","8.8",".212",".558","17.7","20.0",".269"
"abilene-christian","Sat, Jan 30, 2016","","Lamar","Abilene Christian","abilene-christian","lamar","75.0",".602","13.0","14.7",".278",".521","21.3","13.8",".438"
"abilene-christian","Tue, Feb 2, 2016","","Houston Baptist","Abilene Christian","abilene-christian","houston-baptist","73.0",".570","14.3","19.4",".246",".511","21.4","20.0",".543"
"abilene-christian","Sat, Feb 6, 2016","@","Southeastern Louisiana","Abilene Christian","abilene-christian","southeastern-louisiana","67.1",".481","21.0","33.3",".170",".635","21.1","38.1",".288"
"abilene-christian","Mon, Feb 8, 2016","@","Lamar","Abilene Christian","abilene-christian","lamar","67.7",".532","22.5","32.0",".447",".411","15.9","30.3",".667"
"abilene-christian","Mon, Feb 15, 2016","","Sam Houston State","Abilene Christian","abilene-christian","sam-houston-state","67.2",".571","19.4","20.0",".306",".544","9.5","25.0",".386"
"abilene-christian","Thu, Feb 18, 2016","@","Houston Baptist","Abilene Christian","abilene-christian","houston-baptist","66.5",".545","12.6","16.7",".200",".583","14.3","19.2",".354"
"abilene-christian","Sun, Feb 21, 2016","","Southeastern Louisiana","Abilene Christian","abilene-christian","southeastern-louisiana","72.4",".620","12.2","26.1",".580",".585","16.3","19.2",".186"
"abilene-christian","Tue, Feb 23, 2016","@","Texas A&M-Corpus Christi","Abilene Christian","abilene-christian","texas-am-corpus-christi","63.2",".554","24.3","18.2",".174",".482","13.9","26.7",".196"
"abilene-christian","Sat, Feb 27, 2016","","New Orleans","Abilene Christian","abilene-christian","new-orleans","79.9",".600","20.0","23.3",".382",".509","18.1","27.3",".509"
"abilene-christian","Thu, Mar 3, 2016","","Incarnate Word","Abilene Christian","abilene-christian","incarnate-word","72.2",".534","17.8","21.9",".138",".465","12.7","18.9",".368"
"abilene-christian","Sat, Mar 5, 2016","","Texas A&M-Corpus Christi","Abilene Christian","abilene-christian","texas-am-corpus-christi","76.3",".509","20.3","23.5",".214",".500","22.5","17.9",".609"
"air-force","Fri, Nov 13, 2015","@","Southern Illinois","Air Force","air-force","southern-illinois","71.0",".471","15.5","29.6",".529",".463","5.9","36.8",".224"
"air-force","Mon, Nov 16, 2015","","Tennessee Tech","Air Force","air-force","tennessee-tech","74.5",".622","17.1","18.5",".388",".377","15.1","39.5",".323"
"air-force","Thu, Nov 19, 2015","","Mississippi Valley State","Air Force","air-force","mississippi-valley-state","71.0",".408","13.2","27.9",".267",".459","16.2","28.9",".131"
"air-force","Sun, Nov 22, 2015","","Robert Morris","Air Force","air-force","robert-morris","70.3",".402","16.3","41.7",".167",".407","21.5","25.6",".068"
"air-force","Wed, Nov 25, 2015","@","Colorado","Air Force","air-force","colorado","71.2",".500","12.5","21.6",".129",".656","22.6","30.0",".375"
"air-force","Sat, Nov 28, 2015","","New Mexico State","Air Force","air-force","new-mexico-state","63.4",".431","7.9","12.2",".154",".481","21.7","25.8",".269"
"air-force","Wed, Dec 2, 2015","","Citadel","Air Force","air-force","citadel","84.3",".586","13.4","25.0",".500",".556","11.3","10.3",".181"
"air-force","Sat, Dec 5, 2015","@","Denver","Air Force","air-force","denver","66.3",".440","23.0","40.6",".340",".522","24.9","8.0",".267"
"air-force","Tue, Dec 8, 2015","@","Ohio State","Air Force","air-force","ohio-state","71.3",".373","23.5","21.2",".235",".526","15.6","16.1",".246"
"air-force","Sat, Dec 12, 2015","","Army","Air Force","air-force","army","82.6",".516","14.6","25.0",".258",".552","16.7","19.4",".448"
"air-force","Sat, Dec 19, 2015","@","UC-Davis","Air Force","air-force","california-davis","68.6",".583","21.3","16.0",".229",".413","17.9","37.8",".127"
"air-force","Tue, Dec 22, 2015","","Johnson & Wales","Air Force","air-force","johnson-wales","73.6",NA,NA,NA,NA,".517","16.8","35.5",".345"
"air-force","Tue, Dec 29, 2015","","Western State","Air Force","air-force","western-state","71.5",NA,NA,NA,NA,".606","15.7","29.6",".442"
"air-force","Sat, Jan 2, 2016","","San Jose State","Air Force","air-force","san-jose-state","71.1",".398","19.4","25.0",".510",".439","25.3","25.7",".286"
"air-force","Wed, Jan 6, 2016","@","Wyoming","Air Force","air-force","wyoming","66.5",".426","15.8","6.3",".111",".539","18.8","17.2",".176"
"air-force","Sat, Jan 9, 2016","","Nevada","Air Force","air-force","nevada","76.8",".422","20.5","16.2",".392",".529","8.3","24.4",".188"
"air-force","Tue, Jan 12, 2016","@","Utah State","Air Force","air-force","utah-state","69.7",".439","12.2","16.7",".175",".527","11.9","16.7",".357"
"air-force","Sat, Jan 16, 2016","@","Nevada-Las Vegas","Air Force","air-force","nevada-las-vegas","70.0",".464","12.3","11.4",".214",".596","13.5","55.9",".279"
"air-force","Wed, Jan 20, 2016","","Colorado State","Air Force","air-force","colorado-state","66.4",".606","11.5","21.4",".308",".574","8.3","15.2",".389"
"air-force","Sat, Jan 23, 2016","","Fresno State","Air Force","air-force","fresno-state","67.7",".489","24.1","12.9",".217",".422","16.0","20.6",".121"
"air-force","Wed, Jan 27, 2016","@","New Mexico","Air Force","air-force","new-mexico","69.5",".362","15.2","25.6",".224",".728","26.1","33.3",".370"
"air-force","Sat, Jan 30, 2016","@","San Jose State","Air Force","air-force","san-jose-state","64.8",".330","13.4","25.0",".304",".577","13.0","20.7",".288"
"air-force","Tue, Feb 2, 2016","","Wyoming","Air Force","air-force","wyoming","62.9",".568","13.6","22.2",".455",".521","18.9","19.2",".277"
"air-force","Sat, Feb 6, 2016","","Boise State","Air Force","air-force","boise-state","69.0",".511","25.1","21.7",".364",".398","17.0","17.5",".185"
"air-force","Wed, Feb 10, 2016","@","Nevada","Air Force","air-force","nevada","64.8",".358","11.9","23.1",".150",".573","20.9","40.0",".354"
"air-force","Sat, Feb 13, 2016","@","San Diego State","Air Force","air-force","san-diego-state","60.5",".600","17.8","17.4",".020",".475","6.7","32.4",".197"
"air-force","Tue, Feb 16, 2016","","Nevada-Las Vegas","Air Force","air-force","nevada-las-vegas","74.6",".491","15.7","25.0",".404",".557","20.3","17.6",".283"
"air-force","Sat, Feb 20, 2016","","New Mexico","Air Force","air-force","new-mexico","77.7",".554","17.4","16.7",".250",".509","20.5","11.8",".268"
"air-force","Wed, Feb 24, 2016","@","Fresno State","Air Force","air-force","fresno-state","66.1",".587","23.8","9.1",".196",".510","19.2","21.9",".260"
"air-force","Tue, Mar 1, 2016","","Utah State","Air Force","air-force","utah-state","65.6",".545","17.9","21.4",".071",".617","16.2","35.7",".067"
"air-force","Sat, Mar 5, 2016","@","Colorado State","Air Force","air-force","colorado-state","70.6",".528","18.6","18.5",".321",".546","13.8","37.9",".519"
"akron","Mon, Nov 16, 2015","","Hiram","Akron","akron","hiram","82.0",NA,NA,NA,NA,".560","15.5","44.4",".373"
"akron","Wed, Nov 18, 2015","@","Arkansas","Akron","akron","arkansas","71.5",".623","13.9","35.5",".298",".429","9.4","38.7",".413"
"akron","Sun, Nov 22, 2015","@","Villanova (11)","Akron","akron","villanova","68.2",".449","19.1","26.3",".051",".470","7.5","35.1",".179"
"akron","Tue, Nov 24, 2015","@","Green Bay","Akron","akron","green-bay","78.0",".408","19.8","17.6",".233",".338","9.6","35.8",".294"
"akron","Fri, Nov 27, 2015","","Charleston Southern","Akron","akron","charleston-southern","68.5",".522","6.4","32.4",".162",".519","24.2","21.4",".057"
"akron","Wed, Dec 2, 2015","","Coppin State","Akron","akron","coppin-state","77.6",".477","13.7","30.0",".250",".400","13.0","33.3",".214"
"akron","Fri, Dec 4, 2015","@","Marshall","Akron","akron","marshall","75.1",".485","19.1","36.8",".185",".442","14.9","17.9",".200"
"akron","Sat, Dec 12, 2015","","Bethune-Cookman","Akron","akron","bethune-cookman","71.1",".532","12.2","37.1",".222",".375","14.5","39.5",".083"
"akron","Wed, Dec 30, 2015","","South Carolina State","Akron","akron","south-carolina-state","69.9",".500","14.3","31.0",".500",".492","11.8","18.2",".150"
"akron","Sat, Jan 2, 2016","","Lipscomb","Akron","akron","lipscomb","75.3",".492","3.8","17.5",".227",".478","15.1","24.3",".118"
"akron","Tue, Jan 5, 2016","@","Buffalo","Akron","akron","buffalo","67.3",".500","10.1","31.0",".172",".500","14.5","27.3",".291"
"akron","Fri, Jan 8, 2016","","Western Michigan","Akron","akron","western-michigan","64.9",".425","9.5","30.3",".321",".333","16.0","48.9",".136"
"akron","Tue, Jan 12, 2016","@","Central Michigan","Akron","akron","central-michigan","73.8",".551","10.9","27.8",".072",".508","3.7","25.0",".379"
"akron","Fri, Jan 15, 2016","@","Toledo","Akron","akron","toledo","68.2",".474","14.6","17.1",".155",".596","9.8","22.2",".308"
"akron","Tue, Jan 19, 2016","","Eastern Michigan","Akron","akron","eastern-michigan","73.0",".591","12.4","32.1",".491",".595","11.4","26.9",".328"
"akron","Sat, Jan 23, 2016","","Miami (OH)","Akron","akron","miami-oh","62.5",".611","12.1","12.5",".167",".422","19.3","22.2",".059"
"akron","Tue, Jan 26, 2016","","Northern Illinois","Akron","akron","northern-illinois","71.4",".568","18.0","16.0",".591",".483","18.6","27.6",".172"
"akron","Sat, Jan 30, 2016","@","Ball State","Akron","akron","ball-state","65.8",".620","20.9","28.0",".220",".633","26.0","12.5",".041"
"akron","Tue, Feb 2, 2016","@","Ohio","Akron","akron","ohio","73.0",".492","9.8","21.1",".266",".491","16.4","22.9",".211"
"akron","Fri, Feb 5, 2016","","Central Michigan","Akron","akron","central-michigan","69.4",".623","10.0","34.3",".262",".515","5.0","30.6",".288"
"akron","Tue, Feb 9, 2016","@","Bowling Green State","Akron","akron","bowling-green-state","70.1",".632","17.0","25.0",".193",".528","13.8","10.0",".204"
"akron","Sat, Feb 13, 2016","@","Northern Illinois","Akron","akron","northern-illinois","71.3",".620","17.6","19.4",".222",".486","8.2","30.8",".188"
"akron","Tue, Feb 16, 2016","","Buffalo","Akron","akron","buffalo","72.0",".516","12.2","29.4",".238",".465","19.2","46.4",".298"
"akron","Fri, Feb 19, 2016","@","Kent State","Akron","akron","kent-state","71.2",".522","13.3","30.6",".090",".543","11.1","35.3",".379"
"akron","Tue, Feb 23, 2016","@","Miami (OH)","Akron","akron","miami-oh","68.3",".538","21.8","13.8",".132",".528","9.8","17.9",".370"
"akron","Fri, Feb 26, 2016","","Bowling Green State","Akron","akron","bowling-green-state","71.7",".623","12.6","25.0",".123",".469","22.2","6.7",".188"
"akron","Tue, Mar 1, 2016","","Ohio","Akron","akron","ohio","71.2",".568","9.2","41.2",".095",".532","8.2","12.1",".161"
"akron","Fri, Mar 4, 2016","","Kent State","Akron","akron","kent-state","70.6",".428","8.3","33.3",".217",".410","18.0","35.0",".164"
"alabama-am","Fri, Nov 13, 2015","@","Tulane","Alabama A&amp;M","alabama-am","tulane","66.0",".453","16.4","26.5",".156",".447","20.8","42.1",".281"
"alabama-am","Thu, Nov 19, 2015","","Southeast Missouri State","Alabama A&amp;M","alabama-am","southeast-missouri-state","72.2",".534","15.2","18.8",".207",".411","22.6","38.9",".179"
"alabama-am","Sat, Nov 21, 2015","","Oakwood","Alabama A&amp;M","alabama-am","oakwood","76.7",NA,NA,NA,NA,".593","14.7","37.8",".458"
"alabama-am","Tue, Nov 24, 2015","@","Jacksonville State","Alabama A&amp;M","alabama-am","jacksonville-state","66.8",".500","15.9","40.6",".197",".466","8.2","31.3",".237"
"alabama-am","Sat, Nov 28, 2015","@","Murray State","Alabama A&amp;M","alabama-am","murray-state","67.1",".464","20.8","35.7",".161",".420","17.5","37.8",".286"
"alabama-am","Sat, Dec 12, 2015","@","Saint Louis","Alabama A&amp;M","alabama-am","saint-louis","73.8",".432","18.4","20.0",".119",".491","20.1","35.3",".310"
"alabama-am","Wed, Dec 16, 2015","@","Western Kentucky","Alabama A&amp;M","alabama-am","western-kentucky","64.6",".449","8.6","38.6",".132",".500","10.8","37.9",".580"
"alabama-am","Tue, Dec 22, 2015","@","Evansville","Alabama A&amp;M","alabama-am","evansville","76.2",".438","15.2","19.4",".219",".706","21.6","31.6",".373"
"alabama-am","Tue, Dec 29, 2015","@","Ball State","Alabama A&amp;M","alabama-am","ball-state","60.3",".547","12.0","17.6",".075",".462","10.2","31.3",".288"
"alabama-am","Sat, Jan 2, 2016","@","Grambling","Alabama A&amp;M","alabama-am","grambling","62.5",".508","8.6","27.0",".222",".583","10.7","25.9",".333"
"alabama-am","Mon, Jan 4, 2016","@","Jackson State","Alabama A&amp;M","alabama-am","jackson-state","68.4",".500","14.6","23.5",".245",".474","14.1","30.3",".207"
"alabama-am","Sat, Jan 9, 2016","","Arkansas-Pine Bluff","Alabama A&amp;M","alabama-am","arkansas-pine-bluff","71.6",".517","12.1","25.0",".383",".578","10.4","4.0",".216"
"alabama-am","Mon, Jan 11, 2016","","Mississippi Valley State","Alabama A&amp;M","alabama-am","mississippi-valley-state","64.5",".452","7.4","41.5",".254",".595","9.8","29.6",".172"
"alabama-am","Sat, Jan 16, 2016","@","Alabama State","Alabama A&amp;M","alabama-am","alabama-state","69.1",".471","15.5","39.4",".235",".461","16.7","35.1",".250"
"alabama-am","Sat, Jan 23, 2016","@","Alcorn State","Alabama A&amp;M","alabama-am","alcorn-state","64.6",".531","18.1","26.9",".146",".402","15.9","34.2",".230"
"alabama-am","Mon, Jan 25, 2016","@","Southern","Alabama A&amp;M","alabama-am","southern","69.3",".373","18.5","22.9",".275",".490","14.3","24.2",".423"
"alabama-am","Sat, Jan 30, 2016","","Prairie View","Alabama A&amp;M","alabama-am","prairie-view","70.6",".548","17.4","46.4",".500",".453","8.8","22.2",".172"
"alabama-am","Mon, Feb 1, 2016","","Texas Southern","Alabama A&amp;M","alabama-am","texas-southern","65.4",".439","5.6","24.2",".316",".528","9.9","21.4",".283"
"alabama-am","Sat, Feb 6, 2016","@","Arkansas-Pine Bluff","Alabama A&amp;M","alabama-am","arkansas-pine-bluff","63.0",".469","12.6","31.0",".510",".527","11.6","26.9",".145"
"alabama-am","Mon, Feb 8, 2016","@","Mississippi Valley State","Alabama A&amp;M","alabama-am","mississippi-valley-state","64.7",".455","14.6","32.3",".255",".480","20.1","46.2",".333"
"alabama-am","Sat, Feb 13, 2016","","Alabama State","Alabama A&amp;M","alabama-am","alabama-state","62.8",".510","13.0","34.5",".340",".492","5.3","31.4",".154"
"alabama-am","Sat, Feb 20, 2016","","Alcorn State","Alabama A&amp;M","alabama-am","alcorn-state","58.4",".434","13.2","17.9",".226",".595","15.4","31.6",".286"
"alabama-am","Mon, Feb 22, 2016","","Southern","Alabama A&amp;M","alabama-am","southern","67.6",".582","9.9","23.8",".255",".463","11.9","25.0",".296"
"alabama-am","Sat, Feb 27, 2016","@","Texas Southern","Alabama A&amp;M","alabama-am","texas-southern","67.7",".420","22.0","19.4",".240",".571","15.2","36.7",".079"
"alabama-am","Mon, Feb 29, 2016","@","Prairie View","Alabama A&amp;M","alabama-am","prairie-view","74.7",".402","25.5","28.1",".609",".653","21.8","18.2",".429"
"alabama-am","Thu, Mar 3, 2016","","Grambling","Alabama A&amp;M","alabama-am","grambling","63.5",".431","16.4","27.3",".275",".573","13.8","19.0",".208"
"alabama-am","Sat, Mar 5, 2016","","Jackson State","Alabama A&amp;M","alabama-am","jackson-state","59.0",".330","10.0","30.6",".420",".433","8.0","15.2",".115"
"alabama-birmingham","Fri, Nov 13, 2015","@","Auburn","Alabama-Birmingham","alabama-birmingham","auburn","73.5",".471","14.8","33.3",".114",".500","17.8","26.7",".471"
"alabama-birmingham","Mon, Nov 16, 2015","","Alabama State","Alabama-Birmingham","alabama-birmingham","alabama-state","75.4",".536","22.9","28.6",".643",".467","14.5","18.9",".233"
"alabama-birmingham","Thu, Nov 19, 2015","@","Troy","Alabama-Birmingham","alabama-birmingham","troy","78.1",".559","18.3","18.8",".220",".387","13.5","25.0",".113"
"alabama-birmingham","Sun, Nov 22, 2015","","Jacksonville State","Alabama-Birmingham","alabama-birmingham","jacksonville-state","60.5",".417","10.0","37.9",".296",".391","10.0","25.0",".218"
"alabama-birmingham","Tue, Dec 1, 2015","","Georgia State","Alabama-Birmingham","alabama-birmingham","georgia-state","64.2",".429","13.9","30.0",".449",".398","13.0","31.0",".169"
"alabama-birmingham","Sat, Dec 5, 2015","@","Illinois State","Alabama-Birmingham","alabama-birmingham","illinois-state","68.1",".580","19.4","32.3",".161",".402","15.0","31.6",".197"
"alabama-birmingham","Sun, Dec 13, 2015","","Seattle","Alabama-Birmingham","alabama-birmingham","seattle","64.0",".583","13.3","40.0",".150",".618","23.3","40.9",".196"
"alabama-birmingham","Wed, Dec 16, 2015","","South Carolina Upstate","Alabama-Birmingham","alabama-birmingham","south-carolina-upstate","66.3",".629","9.6","55.6",".114",".400","14.8","28.9",".100"
"alabama-birmingham","Sat, Dec 19, 2015","@","South Florida","Alabama-Birmingham","alabama-birmingham","south-florida","67.1",".598","10.8","29.0",".214",".544","24.0","42.3",".105"
"alabama-birmingham","Tue, Dec 22, 2015","","Hiwassee","Alabama-Birmingham","alabama-birmingham","hiwassee","84.6",NA,NA,NA,NA,".683","14.9","43.5",".268"
"alabama-birmingham","Tue, Dec 29, 2015","","Stephen F. Austin","Alabama-Birmingham","alabama-birmingham","stephen-f-austin","69.1",".529","20.0","38.5",".404",".477","10.5","23.7",".062"
"alabama-birmingham","Sun, Jan 3, 2016","","Middle Tennessee","Alabama-Birmingham","alabama-birmingham","middle-tennessee","66.3",".602","15.8","17.4",".568",".500","16.2","25.7",".314"
"alabama-birmingham","Thu, Jan 7, 2016","","Texas-San Antonio","Alabama-Birmingham","alabama-birmingham","texas-san-antonio","75.1",".792","17.9","26.7",".150",".548","11.0","20.0",".206"
"alabama-birmingham","Sat, Jan 9, 2016","","Texas-El Paso","Alabama-Birmingham","alabama-birmingham","texas-el-paso","78.0",".441","8.7","30.4",".397",".532","14.4","18.9",".226"
"alabama-birmingham","Thu, Jan 14, 2016","@","Old Dominion","Alabama-Birmingham","alabama-birmingham","old-dominion","63.1",".557","20.2","27.3",".245",".429","12.3","45.2",".157"
"alabama-birmingham","Sat, Jan 16, 2016","@","Charlotte","Alabama-Birmingham","alabama-birmingham","charlotte","68.9",".525","14.3","25.8",".203",".477","7.7","27.8",".154"
"alabama-birmingham","Thu, Jan 21, 2016","","Rice","Alabama-Birmingham","alabama-birmingham","rice","76.2",".518","20.4","37.1",".455",".379","10.4","26.1",".303"
"alabama-birmingham","Sat, Jan 23, 2016","","North Texas","Alabama-Birmingham","alabama-birmingham","north-texas","66.0",".558","12.0","38.7",".183",".387","21.4","48.5",".145"
"alabama-birmingham","Thu, Jan 28, 2016","@","Western Kentucky","Alabama-Birmingham","alabama-birmingham","western-kentucky","69.3",".437","19.4","29.7",".111",".550","20.8","36.7",".280"
"alabama-birmingham","Sat, Jan 30, 2016","@","Marshall","Alabama-Birmingham","alabama-birmingham","marshall","82.9",".521","14.6","20.6",".114",".500","15.6","17.9",".130"
"alabama-birmingham","Thu, Feb 4, 2016","","Florida International","Alabama-Birmingham","alabama-birmingham","florida-international","75.7",".463","14.1","26.3",".179",".517","20.9","20.0",".155"
"alabama-birmingham","Sat, Feb 6, 2016","","Florida Atlantic","Alabama-Birmingham","alabama-birmingham","florida-atlantic","76.7",".675","14.2","40.0",".302",".387","11.2","8.3",".306"
"alabama-birmingham","Thu, Feb 11, 2016","@","Southern Mississippi","Alabama-Birmingham","alabama-birmingham","southern-mississippi","59.0",".563","17.6","38.2",".125",".545","14.9","18.2",".076"
"alabama-birmingham","Sat, Feb 13, 2016","@","Louisiana Tech","Alabama-Birmingham","alabama-birmingham","louisiana-tech","72.4",".522","13.6","33.3",".090",".516","9.6","25.0",".297"
"alabama-birmingham","Sun, Feb 21, 2016","@","Middle Tennessee","Alabama-Birmingham","alabama-birmingham","middle-tennessee","62.8",".693","19.5","36.8",".364",".536","11.6","15.4",".145"
"alabama-birmingham","Thu, Feb 25, 2016","","Marshall","Alabama-Birmingham","alabama-birmingham","marshall","79.9",".553","13.2","35.1",".333",".506","8.7","29.3",".169"
"alabama-birmingham","Sat, Feb 27, 2016","","Western Kentucky","Alabama-Birmingham","alabama-birmingham","western-kentucky","68.9",".563","17.4","18.5",".143",".529","22.7","32.0",".255"
"alabama-birmingham","Thu, Mar 3, 2016","@","Florida International","Alabama-Birmingham","alabama-birmingham","florida-international","73.5",".524","13.4","28.1",".175",".471","26.9","26.5",".235"
"alabama-birmingham","Sat, Mar 5, 2016","@","Florida Atlantic","Alabama-Birmingham","alabama-birmingham","florida-atlantic","72.7",".444","12.0","27.0",".270",".475","12.7","22.2",".197"
"alabama-state","Sat, Nov 14, 2015","@","Virginia Tech","Alabama State","alabama-state","virginia-tech","75.0",".486","9.1","31.6",".225",".500","12.9","41.2",".439"
"alabama-state","Mon, Nov 16, 2015","@","Alabama-Birmingham","Alabama State","alabama-state","alabama-birmingham","75.4",".467","14.5","18.9",".233",".536","22.9","28.6",".643"
"alabama-state","Thu, Nov 19, 2015","@","Mercer","Alabama State","alabama-state","mercer","62.9",".404","12.3","8.6",".135",".500","13.5","40.7",".250"
"alabama-state","Tue, Dec 1, 2015","@","Evansville","Alabama State","alabama-state","evansville","71.8",".383","14.7","23.1",".109",".735","16.5","15.8",".255"
"alabama-state","Thu, Dec 3, 2015","","Auburn Montgomery","Alabama State","alabama-state","auburn-montgomery","75.2",NA,NA,NA,NA,".508","14.7","33.3",".295"
"alabama-state","Sun, Dec 13, 2015","@","Jacksonville State","Alabama State","alabama-state","jacksonville-state","71.7",".413","15.6","29.4",".175",".427","20.2","20.7",".396"
"alabama-state","Wed, Dec 16, 2015","@","Elon","Alabama State","alabama-state","elon","75.6",".434","7.9","27.9",".105",".582","10.6","28.2",".194"
"alabama-state","Sun, Dec 20, 2015","@","Coastal Carolina","Alabama State","alabama-state","coastal-carolina","70.3",".466","15.8","17.2",".190",".467","13.9","28.9",".200"
"alabama-state","Tue, Dec 22, 2015","@","Winthrop","Alabama State","alabama-state","winthrop","83.2",".542","18.6","22.2",".099",".554","10.5","9.1",".308"
"alabama-state","Wed, Dec 30, 2015","","Fort Valley State","Alabama State","alabama-state","fort-valley-state","74.1",NA,NA,NA,NA,".672","9.4","39.3",".224"
"alabama-state","Sat, Jan 2, 2016","@","Jackson State","Alabama State","alabama-state","jackson-state","71.3",".381","16.3","32.5",".271",".518","15.4","31.3",".200"
"alabama-state","Mon, Jan 4, 2016","@","Grambling","Alabama State","alabama-state","grambling","67.8",".470","10.5","30.3",".288",".471","9.5","26.3",".673"
"alabama-state","Sat, Jan 9, 2016","","Mississippi Valley State","Alabama State","alabama-state","mississippi-valley-state","72.9",".368","16.8","47.7",".368",".418","11.6","27.1",".178"
"alabama-state","Mon, Jan 11, 2016","","Arkansas-Pine Bluff","Alabama State","alabama-state","arkansas-pine-bluff","66.7",".333","18.6","34.3",".556",".563","29.0","16.0",".104"
"alabama-state","Sat, Jan 16, 2016","","Alabama A&M","Alabama State","alabama-state","alabama-am","69.1",".461","16.7","35.1",".250",".471","15.5","39.4",".235"
"alabama-state","Sat, Jan 23, 2016","@","Southern","Alabama State","alabama-state","southern","75.7",".468","14.6","20.0",".159",".548","17.8","14.3",".308"
"alabama-state","Mon, Jan 25, 2016","@","Alcorn State","Alabama State","alabama-state","alcorn-state","66.8",".436","10.6","39.4",".436",".529","16.0","26.1",".451"
"alabama-state","Sat, Jan 30, 2016","","Texas Southern","Alabama State","alabama-state","texas-southern","72.6",".451","10.6","31.7",".097",".394","12.4","41.0",".348"
"alabama-state","Mon, Feb 1, 2016","","Prairie View","Alabama State","alabama-state","prairie-view","68.4",".653","19.8","34.8",".388",".594","12.5","20.8",".264"
"alabama-state","Sat, Feb 6, 2016","@","Mississippi Valley State","Alabama State","alabama-state","mississippi-valley-state","69.5",".554","20.2","34.6",".196",".426","18.0","31.3",".296"
"alabama-state","Mon, Feb 8, 2016","@","Arkansas-Pine Bluff","Alabama State","alabama-state","arkansas-pine-bluff","59.8",".435","12.8","37.0",".426",".705","22.4","31.8",".295"
"alabama-state","Sat, Feb 13, 2016","@","Alabama A&M","Alabama State","alabama-state","alabama-am","62.8",".492","5.3","31.4",".154",".510","13.0","34.5",".340"
"alabama-state","Sat, Feb 20, 2016","","Southern","Alabama State","alabama-state","southern","73.9",".462","10.6","31.4",".262",".433","13.4","27.8",".267"
"alabama-state","Mon, Feb 22, 2016","","Alcorn State","Alabama State","alabama-state","alcorn-state","70.9",".500","13.9","29.0",".217",".400","22.2","28.9",".400"
"alabama-state","Sat, Feb 27, 2016","@","Prairie View","Alabama State","alabama-state","prairie-view","71.1",".541","15.0","28.6",".115",".474","14.3","20.0",".224"
