North Carolina-Wilmington,0,North Carolina-Wilmington,0,Oregon,0,Middle Tennessee,0,Northern Iowa,0,Oregon,0,Oregon,0,Northern Iowa,0,North Carolina-Wilmington,0,Holy Cross,0,Middle Tennessee,0,Duke,0,Yale,0,Cincinnati,0,Iowa,5,Texas,0,Texas,0,Duke,0,Texas,0,Texas,0,Duke,0,Duke,0,Texas,0,Texas A&amp;M,0,Northern Iowa,0,Duke,0,Texas A&amp;M,0,Michigan State,0,Saint Joseph's,0,Duke,3,North Carolina-Wilmington,0,Yale,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Yale,0,Baylor,0,Virginia Commonwealth,0,Middle Tennessee,0,Baylor,0,Cincinnati,0,Florida Gulf Coast,4,North Carolina-Asheville,0,Duke,0,Texas,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Texas,0,Texas,0,North Carolina-Asheville,0,Baylor,0,Northern Iowa,0,Cincinnati,0,Yale,0,Oregon,0,Oregon,0,Fresno State,4,Saint Joseph's,6,Purdue,4,Saint Joseph's,4
Duke,0,Duke,0,Texas,0,Oregon,0,Texas,0,Texas,0,Texas,0,Texas,0,Texas A&amp;M,0,Texas,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Duke,0,Texas,0,Buffalo,3,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Yale,0,Yale,0,North Carolina-Wilmington,0,Yale,0,Yale,0,North Carolina-Wilmington,0,Northern Iowa,0,Texas,0,Yale,0,Northern Iowa,0,Virginia Commonwealth,0,Austin Peay,0,Green Bay,2,Duke,0,Baylor,0,Duke,0,Duke,0,Duke,0,Duke,0,Duke,0,Duke,0,Northern Iowa,0,Cincinnati,0,Duke,0,Virginia Commonwealth,0,Yale,0,Yale,0,Xavier,4,North Carolina-Wilmington,0,Yale,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Villanova,0,Texas,0,Baylor,0,Middle Tennessee,0,Holy Cross,0,Holy Cross,0,Virginia,4,Hawaii,5,Syracuse,3,Texas A&amp;M,4
Yale,0,Yale,0,Northern Iowa,0,Northern Iowa,0,Oregon,0,Northern Iowa,0,Northern Iowa,0,Oregon,0,Northern Iowa,0,Northern Iowa,0,Texas,0,Texas A&amp;M,0,North Carolina-Wilmington,0,Northern Iowa,0,Colorado,2,Duke,0,Duke,0,Baylor,0,Baylor,0,Duke,0,Baylor,0,Baylor,0,Duke,0,Texas,0,North Carolina-Wilmington,0,Baylor,0,Texas,0,Oregon State,0,Colorado,0,Yale,2,Yale,0,Cincinnati,0,Yale,0,Yale,0,Yale,0,Yale,0,Yale,0,Yale,0,North Carolina-Wilmington,0,Saint Joseph's,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Middle Tennessee,0,Holy Cross,0,Notre Dame,4,Texas,0,Baylor,0,North Carolina-Asheville,0,Texas,0,Texas,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Texas,0,Yale,0,North Carolina-Wilmington,0,Texas,0,Villanova,0,Saint Joseph's,0,Saint Joseph's,0,Syracuse,3,Villanova,4,Southern California,2,Providence,4
Baylor,0,Baylor,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Holy Cross,0,Texas A&amp;M,0,Northern Iowa,0,Northern Iowa,0,Texas,0,Texas A&amp;M,0,South Dakota State,2,Yale,0,Yale,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Yale,0,North Carolina-Wilmington,0,Duke,0,Cincinnati,0,Cincinnati,0,Green Bay,0,Connecticut,0,Baylor,1,Baylor,0,Saint Joseph's,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Texas,0,Holy Cross,0,Texas,0,Texas,0,North Carolina-Wilmington,0,Oregon,0,Michigan,3,Northern Iowa,0,Cincinnati,0,Northern Iowa,0,Northern Iowa,0,Northern Iowa,0,Northern Iowa,0,Northern Iowa,0,Northern Iowa,0,Duke,0,Duke,0,Duke,0,Duke,0,Cincinnati,0,Cincinnati,0,Texas Tech,3,Temple,4,Michigan,2,Seton Hall,3
Cincinnati,0,Cincinnati,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Texas A&amp;M,0,Holy Cross,0,Virginia Commonwealth,0,Green Bay,0,University of California,2,Baylor,0,Baylor,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Baylor,0,Duke,0,Yale,0,Saint Joseph's,0,Saint Joseph's,0,Texas A&amp;M,0,North Carolina-Wilmington,0,Northern Iowa,1,Cincinnati,0,Holy Cross,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Virginia Commonwealth,0,Oregon,0,Northern Iowa,0,Northern Iowa,0,Holy Cross,0,North Carolina-Asheville,0,Weber State,2,Texas A&amp;M,0,Saint Joseph's,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,North Carolina-Wilmington,0,Yale,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Middle Tennessee,0,Texas,0,Arkansas-Little Rock,2,Virginia Commonwealth,4,Iowa State,2,Arizona,2
Saint Joseph's,0,Saint Joseph's,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Green Bay,0,Green Bay,0,Texas A&amp;M,0,Oregon State,0,Duke,0,Cincinnati,0,Cincinnati,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Yale,0,Baylor,0,Holy Cross,0,Holy Cross,0,Northern Iowa,0,Duke,0,Holy Cross,1,Saint Joseph's,0,Oregon,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Texas A&amp;M,0,North Carolina-Asheville,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas,0,Duke,0,Southern California,1,Green Bay,0,Holy Cross,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Texas,0,Baylor,0,Villanova,0,Texas,0,Temple,0,Yale,0,Saint Joseph's,0,North Carolina-Wilmington,3,Iona,2,Hawaii,2
Holy Cross,0,Holy Cross,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Oregon State,0,Oregon State,0,Green Bay,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Saint Joseph's,0,Saint Joseph's,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Baylor,0,Cincinnati,0,Oregon,0,Oregon,0,Texas,0,Yale,0,Arizona,0,Holy Cross,0,North Carolina-Asheville,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Northern Iowa,0,North Carolina-Wilmington,0,Oregon,0,Oregon State,0,Oregon,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Northern Iowa,0,Cincinnati,0,Northern Iowa,0,Northern Iowa,0,Baylor,0,Duke,0,Villanova,0,Yale,2,Michigan State,2,Pittsburgh,2
North Carolina-Asheville,0,Middle Tennessee,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Saint Joseph's,0,Saint Joseph's,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Oregon State,0,Duke,0,Oregon State,0,North Carolina-Asheville,0,Holy Cross,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Saint Joseph's,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Baylor,0,Austin Peay,0,North Carolina-Asheville,0,Middle Tennessee,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Holy Cross,0,Yale,0,Holy Cross,0,Holy Cross,0,Saint Joseph's,0,Texas,0,Holy Cross,0,Oregon,0,North Carolina-Asheville,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Texas A&amp;M,0,Saint Joseph's,0,Texas A&amp;M,0,Texas A&amp;M,0,Yale,0,North Carolina-Wilmington,0,North Carolina-Asheville,0,Iowa,2,Dayton,2,Kansas,2
Michigan State,0,Michigan State,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Middle Tennessee,0,Saint Joseph's,0,Saint Joseph's,0,Cincinnati,0,Yale,0,Green Bay,0,Villanova,0,Oregon,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Oregon,0,Villanova,0,Villanova,0,Villanova,0,Cincinnati,0,Oregon State,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oregon,0,Middle Tennessee,0,Oregon,0,Oregon,0,Oregon,0,Northern Iowa,0,Saint Joseph's,0,Temple,0,Villanova,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Green Bay,0,Holy Cross,0,Green Bay,0,Green Bay,0,Duke,0,Villanova,0,Oregon,0,Cal State Bakersfield,2,West Virginia,1,Purdue,2
Villanova,0,Temple,0,Michigan State,0,Michigan State,0,Michigan State,0,Michigan State,0,Michigan State,0,Michigan State,0,Oregon,0,Oregon,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Baylor,0,Baylor,0,Texas A&amp;M,0,Temple,0,Michigan State,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Connecticut,0,Temple,0,Temple,0,Temple,0,Holy Cross,0,Colorado,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,North Carolina-Asheville,0,Virginia Commonwealth,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Green Bay,0,Saint Joseph's,0,Cincinnati,0,Villanova,0,Temple,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Wilmington,0,Northern Iowa,0,Holy Cross,0,Duke,1,Kentucky,1,Temple,2
